TITLE,LOCATION,PRICE,LAND AREA,BUILDUP AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,PARKING,AMENITIES
 House for Sale,"Imadol, Lalitpur",Rs. 2.9 Cr ,4.0 aana,,12 Feet,West,3,5,4,2076 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Terrace', 'Modular Kitchen', 'Closet', 'Dining Room', 'Pantry', 'Bed Room']"
 House for Sale,"Satdobato, Lalitpur",Rs. 4.75 Cr ,3.0 aana,,10 Feet,West,4.5,5,6,2076 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Parquet', 'Drinking Water', 'Parking', 'Modular Kitchen', 'Closet', 'Bed Room', 'Pantry', 'Dining Room', 'Bathroom', 'Store Room']"
4 BHK House for Sale,"Imadol, Lalitpur",Rs. 1.99 Cr ,2.3 aana,,10 Feet,West,2.5,4,4,2060 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Closet', 'Modular Kitchen', 'MiCrowave', 'Bed Room', 'Dining Room']"
Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 4 Cr ,7.0 aana,,12 Feet,North-West,2.5,4,3,2059 B.S,4 CaRs.  & 4 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Balcony', 'Parking', 'Drinking Water', 'Garden', 'Modular Kitchen', 'Internet', 'Closet', 'MiCrowave']"
 House for Rent,"Maharajgunj, Kathmandu",Rs. 12000000,6.0 aana,,20 Feet,South,2,4,4,2071 B.S,4 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Parquet', 'Parking', 'Drinking Water', 'Closet', 'Modular Kitchen', 'Bed Room', 'Bathroom', 'Living Room', 'Guest Room', 'Prayer Room']"
Bungalow House for Rent,"Bhaisepati, Lalitpur",Rs. 27000000,6.0 aana,,12 Feet,South-East,2.5,6,5,2076 B.S,4 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Gym']"
3 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 3.3 Cr ,3.2 aana,,13 Feet,North-West,2.5,4,3,2074 B.S,4 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Water Purifier', 'Fridge', 'Sofa', 'Closet', 'Internet', 'MiCrowave']"
 House for Sale,"Budhanilkantha, Kathmandu",Rs. 4 Cr ,4.3 aana,,14 Feet,North-East,2.5,5,4,2065 B.S,1 CaRs.  & 2 Bikes,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Closet', 'Bed Room', 'Dining Room']"
 House for Sale,"Gyaneshwor, Kathmandu",Rs. 4.5 Cr ,2.2 aana,,10 Feet,West,5.5,13,5,2066 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Terrace', 'Modular Kitchen', 'Power Backup', 'Closet', 'Dining Room', 'Pantry']"
 House for Sale,"Bhaisepati, Lalitpur",Rs. 3 Cr,5.0 aana,,12 Feet,East,3,5,5,2075 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Terrace', 'Power Backup', 'Drainage', 'Drinking Water', 'Parking', 'Balcony', 'Sofa', 'Fridge']"
