ad_id,title,location_raw,district,neighborhood,road_type,raw_price,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot
HB-449254,commercial land for sale in tokha,"Tokha-3, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,Above 20 Ft,7000000.0,3.0,2333333.3333333335,7000000.0,False,False,False,False
HB-DC6CF2,Land for sale near kmc hospital,"Kmc Hospital, Changunarayan-2, Bhaktapur",Bhaktapur,Changunarayan,,6500000.0,3.0,2166666.6666666665,6500000.0,False,False,False,False
HB-72A275,10 Aana Land On Sale At Shivapuri Colony.,"बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",Kathmandu,बूढानीलकण्ठ,13-20 Ft,5300000.0,10.0,5300000.0,53000000.0,False,False,False,False
HB-6CE9DF,Land on sale,"Godawari Bridge, Gwarko-Lamatar, Mahalaxmi-8, Lalitpur",Lalitpur,Godawari,,3000000.0,3.5,3000000.0,10500000.0,False,False,False,False
HB-5E933A,15 Aana Land On Sale Near Lemon Tree Hotel.,"बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",Kathmandu,बूढानीलकण्ठ,13-20 Ft,4500000.0,15.0,4500000.0,67500000.0,False,False,False,False
HB-B4FBC4,Kapan Tenzin Chok Ma 6anna Jagga Sell Ma,"F84, Tenzing Chok, Budhanilkantha, Budhanilkantha Municipality, Kathmandu",Kathmandu,Budhanilkantha,13-20 Ft,6000000.0,6.0,1000000.0,6000000.0,False,False,False,False
HB-3A8E36,Land For Sale At Chandragiri,"Matatirtha, Chandragiri-6, Kathmandu, Bagmati Pradesh",Kathmandu,Matatirtha,Gravel Road,2500000.0,6.0,2500000.0,15000000.0,False,False,False,False
HB-500628,land for sale bhanimandal lalitpur 10 aana,"DAV Sushil Kedia Vishwa Bharati School, दमकल सुन्दरीघाट मार्ग, Dhobighat, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,दमकल सुन्दरीघाट मार्ग,Above 20 Ft,1050000.0,10.0,1050000.0,10500000.0,False,False,False,False
HB-6E7D12,6 aana perfect land on sale near Metro apartment,"Swastik Marg, Kathmandu-14, Kathmandu, Bagmati Pradesh",Kathmandu,Swastik Marg,,9000000.0,6.0,1500000.0,9000000.0,False,False,False,False
HB-D76F6F,land for sale jawalakhel lalitpur 6 aana,"Damodar Marga, Ekantakuna, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Ekantakuna,Above 20 Ft,11000000.0,6.0,1833333.3333333333,11000000.0,False,False,False,False
HB-3865E4,Land for Sale at Dhapakhel,"Dhapakhel Hp, Lalitpur-15, Lalitpur",Lalitpur,Dhapakhel,Above 20 Ft,3500000.0,10.0,3500000.0,35000000.0,False,False,False,False
HB-589245,Land for Sale Kirtipur Near Jal Binayak Colony!,"Jalbinayak Colony, Kirtipur-6, Kathmandu",Kathmandu,Jalbinayak Colony,,3200000.0,3.0,1066666.6666666667,3200000.0,False,False,False,False
HB-1DCC5E,"Land On Sale At Pasikot, Budhanilkantha","Pasikot, Budhanilakantha-4, Kathmandu",Kathmandu,Pasikot,Pitched Road,4400000.0,4.5,4400000.0,19800000.0,False,False,False,False
HB-8CE6AE,land for sale kupandol lalitpur 17 aana,"Upendra Marg, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Upendra Marg,9-12 Ft,6500000.0,17.0,6500000.0,110500000.0,False,False,False,False
HB-CEFBE8,Land On Sale At Baluwatar,"Baluwatar-4, Kathmandu-4, Kathmandu",Kathmandu,Baluwatar,Pitched Road,6500000.0,4.5,1444444.4444444445,6500000.0,False,False,False,False
HB-A58F36,Residential Land for Sale Old Naikap Near Kalanki,"Kalanki-14 Khadkagau, Chandragiri-13, Kathmandu",Kathmandu,Kalanki,,2700000.0,3.5,2700000.0,9450000.0,False,False,False,False
HB-FDCD05,"Land On Sale At Pasikot, Budhanilkantha","Pasikot Futsal, Budhanilakantha-4, Kathmandu",Kathmandu,Pasikot Futsal,Gravel Road,4500000.0,4.59,4500000.0,20655000.0,False,False,False,False
HB-B2562A,Land for sale in bramakhal Kathmandu,"Bramhakhel Dhunge Dhara, Kageshwori Manahora-4, Kathmandu",Kathmandu,Bramhakhel Dhunge Dhara,Above 20 Ft,2500000.0,4.75,2500000.0,11875000.0,False,False,False,False
HB-93CC27,"RESIDENTIAL LAND ON SALE AT DHAPA VALLEY, Dhapakhe","Dhapa Valley, Lalitpur-24, Lalitpur",Lalitpur,Dhapa Valley,,3250000.0,5.0,3250000.0,16250000.0,False,False,False,False
HB-A76854,land sale,"Chandragiri-2, Kathmandu, Bagmati Pradesh",Kathmandu,Chandragiri,13-20 Ft,2000000.0,3.0,2000000.0,6000000.0,False,False,False,False
HB-A9E7DD,Land On Sale At Budhanilkantha,"Budhanilkantha, Budhanilakantha-2, Kathmandu",Kathmandu,Budhanilkantha,Gravel Road,2500000.0,6.5,2500000.0,16250000.0,False,False,False,False
HB-7A0D68,4 Anna Land For Sale Very Reasonable Price,"Nagarjun, Nagarjun Municipality, Kathmandu",Kathmandu,Nagarjun,13-20 Ft,3800000.0,4.0,3800000.0,15200000.0,False,False,False,False
HB-384C1B,बालुवाटारमा ४.५ आना जग्गा तुरुन्त बिक्रीमा,"Baluwatar, Kathmandu-4, Kathmandu, Bagmati Pradesh",Kathmandu,Baluwatar,9-12 Ft,6300000.0,4.0,1575000.0,6300000.0,False,False,False,False
HB-629CF4,JHAMSIKHEL – 10 AANA SEMI-COMMERCIAL LAND,"Jhamsikhel, Lalitpur-3, Lalitpur",Lalitpur,Jhamsikhel,,100000000.0,10.0,10000000.0,100000000.0,False,False,False,False
HB-177CBD,Land & House On Sell,"Khadka Bhadrakali, Budhanilkantha, Budhanilkantha Municipality, Kathmandu",Kathmandu,Khadka Bhadrakali,Full Road,100.0,10.226442658875092,10000000.0,102264426.58875091,False,False,False,False
HB-486543,"Commercial Land On Sale At Dhapakhel, Lalitpur.","Dhapakhel Hp, Lalitpur-15, Lalitpur",Lalitpur,Dhapakhel,Above 20 Ft,5500000.0,4.0,1375000.0,5500000.0,False,False,False,False
HB-E9A7F8,5.5 Aana @ Sankhu- Near Malpot - @18 lacs/ Aana,"Sankhu Malpot Office, salinadi road, Shankharapur-6, Kathmandu",Kathmandu,Shankharapur,,1800000.0,5.5,1800000.0,9900000.0,False,False,False,False
HB-AD8D5A,7.1 Aana Land On Sale At Dhumbarahi Hams Hospital,"Dhumbarahi, Kathmandu",Kathmandu,Dhumbarahi,13-20 Ft,48500000.0,7.1,6830985.915492958,48500000.0,False,False,False,False
HB-FE0EB3,4.1 Aana Land On Sale At Sukedhara Area,"Sukedhara Area, Kathmandu",Kathmandu,Sukedhara,13-20 Ft,30000000.0,4.1,7317073.170731708,30000000.0,False,False,False,False
HB-867F84,Land on sale at machhegaun Naaikap 4Aana,"Chandragiri-9, Kathmandu, Bagmati Pradesh",Kathmandu,Chandragiri,,2500000.0,5.843681519357195,2500000.0,14609203.798392987,False,False,False,False
HB-A10874,land sale,"620 Ward office - Ghamdhoka Marga Chagunarayan Temmple Area, Chagunarayan Temmple Area, Changu Narayan, Sangdaha- Changu Road, Changunarayan-4, Bhaktapur, Bagmati Pradesh",Bhaktapur,Chagunarayan Temmple,,26.0,5.0,2600000.0,13000000.0,False,False,False,False
HB-D9E191,land for sale in hattiban Lalitpur,"Hattiban, Mahalaxmi-4, Lalitpur",Lalitpur,Hattiban,Pitched Road,4000000.0,55.0,4000000.0,220000000.0,False,False,False,True
