district,property_type,property_face,road_type,furnishing,municipality,ward_no,neighborhood,total_price,land_size_aana,built_up_sqft,house_age,road_width_feet,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,college_m,public_transport_m,police_station_m,boudhanath_m,ring_road_m
Kathmandu,Residential,East,High Access,Full Furnished,Tokha,7.0,Dhapasi,75500000.0,8.0,1711.25,3.0,13.0,500.0,6000.0,100.0,300.0,100.0,280.0,50.0,500.0,5000.0,2000.0
Kathmandu,Residential,South-West,High Access,Unfurnished,Kageshwori Manohara,7.0,Mulpani,23500000.0,3.0,2538.0,4.0,13.0,2500.0,7000.0,400.0,4000.0,500.0,2000.0,100.0,600.0,5000.0,5000.0
Kathmandu,Residential,South-East,Low Access,Semi Furnished,Budhanilkantha,11.0,Kapan,37500000.0,4.0,2665.0,0.0,14.0,1000.0,7000.0,150.0,1230.0,96.0,400.0,250.0,500.0,6500.0,3500.0
Kathmandu,Residential,North,Low Access,Semi Furnished,Budhanilkantha,10.0,Sukedhara,42500000.0,5.48,3000.0,0.0,12.0,800.0,5000.0,80.0,1400.3,76.0,210.0,80.0,250.0,4500.0,500.0
Kathmandu,Residential,West,High Access,Unfurnished,Kathmandu,14.0,Kuleshwor,80000000.0,8.5,1369.0,2.0,16.0,1000.0,9700.0,90.0,1230.0,100.0,100.0,400.0,344.0,10000.0,400.0
Kathmandu,Residential,East,High Access,Unfurnished,Nagarjun,6.0,Sitapaila,28000000.0,3.0,2200.0,6.5,13.0,500.0,11000.0,240.0,2000.0,250.0,230.0,100.0,444.0,13000.0,700.0
Kathmandu,Residential,East,Low Access,Semi Furnished,Nagarjun,3.0,Sitapaila,25000000.0,3.5,2500.0,0.0,13.0,2000.0,11000.0,660.0,3000.0,580.0,1310.0,200.0,970.0,13000.0,2500.0
Kathmandu,Commercial,East,High Access,Semi Furnished,Nagarjun,4.0,Kalanki,28000000.0,3.0,2200.0,0.0,13.0,600.0,11000.0,150.0,1000.0,200.0,260.0,200.0,404.0,13000.0,1000.0
Kathmandu,Semi-commercial,North,High Access,Unfurnished,Kathmandu,17.0,Swayambhu,80000000.0,5.25,1711.25,6.0,13.0,1100.0,8000.0,90.0,1230.0,200.0,1300.0,100.0,524.0,4600.0,2000.0
Kathmandu,Residential,East,High Access,Unfurnished,Kathmandu,14.0,Kalanki,60000000.0,10.0,1197.87,10.0,13.0,0.0,10000.0,110.0,1360.0,100.0,200.0,100.0,460.0,11000.0,150.0
Kathmandu,Commercial,South-East,High Access,Unfurnished,Kathmandu,14.0,Kalanki,36000000.0,5.25,1026.75,22.0,6.0,500.0,9500.0,130.0,780.0,100.0,200.0,100.0,380.0,10000.0,100.0
Kathmandu,Commercial,West,Low Access,Unfurnished,Kathmandu,19.0,Basantapur,60000000.0,3.75,1197.87,22.0,8.0,600.0,8700.0,140.0,470.3,450.0,1500.0,500.0,574.0,7300.0,1500.0
Kathmandu,Residential,East,Low Access,Full Furnished,Budhanilkantha,4.0,Budhanilkantha,60000000.0,5.25,1540.12,1.0,13.0,300.0,4000.0,200.0,400.0,10.0,200.0,200.0,200.0,4000.0,4000.0
Kathmandu,Commercial,South-West,High Access,Unfurnished,Kathmandu,15.0,Chamati,48500000.0,3.5,1026.75,10.0,21.0,550.0,7700.0,240.0,1000.0,100.0,180.0,500.0,560.0,10000.0,500.0
Kathmandu,Residential,North-East,Low Access,Unfurnished,Nagarjun,3.0,Budget_Zone,28000000.0,4.0,1898.0,4.0,12.0,2000.0,10000.0,100.0,2100.0,1000.0,2000.0,1000.0,650.0,12000.0,600.0
Kathmandu,Residential,East,High Access,Semi Furnished,Budhanilkantha,11.0,Kapan,45500000.0,3.5,5000.0,2.0,13.0,300.0,4000.0,250.0,4000.0,300.0,500.0,250.0,250.0,4000.0,800.0
Kathmandu,Residential,North,High Access,Unfurnished,Kathmandu,13.0,Bafal,100000000.0,9.0,1711.25,15.0,13.0,900.0,10000.0,188.0,1230.0,500.0,800.0,500.0,660.0,11000.0,100.0
Kathmandu,Residential,North-East,High Access,Unfurnished,Kathmandu,8.0,Syuchatar,27500000.0,4.0,1095.2,0.0,10.0,1500.0,12000.0,680.0,2240.0,500.0,1500.0,1000.0,710.0,14000.0,2000.0
Kathmandu,Semi-commercial,North-East,High Access,Unfurnished,Gokarneshwor,4.0,Makalbari,27500000.0,3.5,1283.4,19.0,16.0,1000.0,7000.0,318.0,4000.0,500.0,500.0,500.0,500.0,2000.0,4000.0
Kathmandu,Residential,East,High Access,Semi Furnished,Kathmandu,10.0,Samakhusi,74500000.0,9.5,2053.5,19.0,14.0,300.0,5000.0,100.0,1000.0,200.0,260.0,50.0,300.0,4000.0,400.0
Kathmandu,Residential,South,High Access,Unfurnished,Kathmandu,16.0,Machhapokhari,27000000.0,3.5,1026.75,32.0,10.0,100.0,8300.0,110.0,1300.3,100.0,150.0,200.0,380.0,8300.0,200.0
Kathmandu,Residential,South-West,High Access,Semi Furnished,Budhanilkantha,7.0,Budhanilkantha,17500000.0,3.0,684.5,3.0,13.0,500.0,7000.0,300.0,3000.0,500.0,600.0,300.0,400.0,6000.0,400.0
Kathmandu,Semi-commercial,North,High Access,Unfurnished,Kathmandu,15.0,Dallu,45000000.0,6.0,1026.75,28.0,14.0,1500.0,8500.0,218.0,2000.0,500.0,500.0,100.0,594.0,10000.0,1500.0
