title,location_raw,floors,price_npr,land_size_aana,buildup_area_sqft,road_width_feet,facing,built_year_bs,built_year_ad,house_age,parking_cars,parking_bikes,bedrooms,bathrooms,amenities,district
 House for Sale,"Imadol, Lalitpur",3.0,29000000.0,4.0,,12.0,West,2076.0,2019.0,6.0,1.0,2.0,5.0,4.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Terrace, Modular Kitchen, Closet, Dining Room, Pantry, Bed Room",Lalitpur
 House for Sale,"Satdobato, Lalitpur",4.5,47500000.0,3.0,,10.0,West,2076.0,2019.0,6.0,2.0,2.0,5.0,6.0,"Earthquake Resistant, Parquet, Drinking Water, Parking, Modular Kitchen, Closet, Bed Room, Pantry, Dining Room, Bathroom, Store Room",Lalitpur
4 BHK House for Sale,"Imadol, Lalitpur",2.5,19900000.0,2.3,,10.0,West,2060.0,2003.0,22.0,1.0,3.0,4.0,4.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Balcony, Closet, Modular Kitchen, MiCrowave, Bed Room, Dining Room",Lalitpur
Bungalow House for Sale,"Bhaisepati, Lalitpur",2.5,40000000.0,7.0,,12.0,North-West,2059.0,2002.0,23.0,4.0,4.0,4.0,3.0,"Earthquake Resistant, Marbel, Parquet, Balcony, Parking, Drinking Water, Garden, Modular Kitchen, Internet, Closet, MiCrowave",Lalitpur
 House for Rent,"Maharajgunj, Kathmandu",2.0,12000000.0,6.0,,20.0,South,2071.0,2014.0,11.0,4.0,5.0,4.0,4.0,"Earthquake Resistant, Parquet, Parking, Drinking Water, Closet, Modular Kitchen, Bed Room, Bathroom, Living Room, Guest Room, Prayer Room",Kathmandu
Bungalow House for Rent,"Bhaisepati, Lalitpur",2.5,27000000.0,6.0,,12.0,South-East,2076.0,2019.0,6.0,4.0,5.0,6.0,5.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Power Backup, Garden, Parking, Drinking Water, Balcony, Terrace, Gym",Lalitpur
3 BHK House for Sale,"Bhaisepati, Lalitpur",2.5,33000000.0,3.2,,13.0,North-West,2074.0,2017.0,8.0,4.0,5.0,4.0,3.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Water Purifier, Fridge, Sofa, Closet, Internet, MiCrowave",Lalitpur
 House for Sale,"Budhanilkantha, Kathmandu",2.5,40000000.0,4.3,,14.0,North-East,2065.0,2008.0,17.0,1.0,2.0,5.0,4.0,"Marbel, Parquet, Earthquake Resistant, Parking, Drinking Water, Balcony, Terrace, Modular Kitchen, Closet, Bed Room, Dining Room",Kathmandu
 House for Sale,"Gyaneshwor, Kathmandu",5.5,45000000.0,2.2,,10.0,West,2066.0,2009.0,16.0,1.0,3.0,13.0,5.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Terrace, Modular Kitchen, Power Backup, Closet, Dining Room, Pantry",Kathmandu
 House for Sale,"Bhaisepati, Lalitpur",3.0,30000000.0,5.0,,12.0,East,2075.0,2018.0,7.0,2.0,2.0,5.0,5.0,"Earthquake Resistant, Marbel, Parquet, Terrace, Power Backup, Drainage, Drinking Water, Parking, Balcony, Sofa, Fridge",Lalitpur
 House for Sale,"Imadol, Lalitpur",3.0,49900000.0,5.2,,13.0,North-East,2079.0,2022.0,3.0,,,6.0,5.0,"Earthquake Resistant, Marbel, Parquet, Balcony, Drinking Water, Parking, Terrace, Power Backup, Internet, Closet, MiCrowave",Lalitpur
 House for Sale,"Kharibot, Kathmandu",2.5,24500000.0,3.0,,16.0,South,2070.0,2013.0,12.0,,2.0,4.0,2.0,"Marbel, Earthquake Resistant, Parquet, Drainage, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Dining Room, Bed Room",Kathmandu
Bungalow House for Sale,"Bafal, Kathmandu",4.0,25000000.0,4.0,,13.0,South-East,2078.0,2021.0,4.0,,3.0,4.0,5.0,"Marbel, Earthquake Resistant, Parquet, Parking, Drinking Water, Balcony, Terrace, Modular Kitchen, Bed Room, Dining Room, Pantry",Kathmandu
4 BHK House for Sale,"Khumaltar, Lalitpur",2.5,42500000.0,4.0,,20.0,South-East,2078.0,2021.0,4.0,,,4.0,4.0,"Earthquake Resistant, Marbel, Parquet, Terrace, Parking, Balcony, Drinking Water, Fridge, Sofa, AirCon, TV",Lalitpur
Bungalow House for Sale,"Bhaisepati, Lalitpur",2.5,65000000.0,6.2,,12.0,South-East,2077.0,2020.0,5.0,3.0,,4.0,5.0,"Marbel, Parquet, Earthquake Resistant, Terrace, Parking, Drinking Water, Balcony, Bed Room, Closet, Internet, AirCon",Lalitpur
4 BHK House for Sale,"Bhaisepati, Lalitpur",2.5,36000000.0,4.2,,13.0,South-West,2077.0,2020.0,5.0,1.0,2.0,4.0,5.0,"Parquet, Marbel, Earthquake Resistant, Balcony, Terrace, Parking, Drinking Water, Modular Kitchen, MiCrowave, Closet, Bed Room",Lalitpur
 House for Sale,"Khumaltar, Lalitpur",3.5,58000000.0,5.0,3600.0,14.0,North-West,2078.0,2021.0,4.0,1.0,1.0,6.0,6.0,"Marbel, Earthquake Resistant, Parquet, Drinking Water, Parking, Bathtub, Balcony, Terrace, Sofa, AirCon, Washing Machine",Lalitpur
Bungalow House for Sale,"Bhaisepati, Lalitpur",3.5,25000000.0,3.2,,12.0,South-East,2078.0,2021.0,4.0,3.0,3.0,5.0,7.0,"Earthquake Resistant, Terrace, Marbel, Parquet, Drainage, CC Camera, Parking, Power Backup, Drinking Water, Balcony, Fridge",Lalitpur
4 BHK House for Sale,"Bhaisepati, Lalitpur",3.0,48000000.0,5.2,,16.0,South-East,2077.0,2020.0,5.0,2.0,2.0,4.0,4.0,"Earthquake Resistant, Marbel, Parquet, Balcony, Drinking Water, Parking, Terrace, Bed Room, Dining Room, Pantry, Master Bedroom",Lalitpur
4 BHK House for Sale,"Tahachal, Kathmandu",3.0,66500000.0,4.1,,20.0,North,2077.0,2020.0,5.0,2.0,3.0,4.0,5.0,"Earthquake Resistant, Drinking Water, Marbel, Balcony, Parquet, Parking, Terrace, Sofa, Fridge, Iron, Closet",Kathmandu
Bungalow House for Sale,"Dhapasi, Kathmandu",2.5,133000000.0,9.6,,14.0,North-East,2077.0,2020.0,5.0,2.0,3.0,5.0,5.0,"Earthquake Resistant, Marbel, Parquet, Parking, Garden, Power Backup, Drainage, Basement, Bathtub, Balcony, Drinking Water",Kathmandu
Villa House for Sale,"Thecho, Lalitpur",3.5,85000000.0,7.0,,12.0,East,2078.0,2021.0,4.0,3.0,3.0,5.0,7.0,"Earthquake Resistant, Drinking Water, Parquet, Marbel, Parking, Balcony, Terrace, MiCrowave, Power Backup, Iron, Sofa",Lalitpur
Bungalow House for Sale,"Bhaisepati, Lalitpur",2.5,55000000.0,5.0,,12.0,North-East,2078.0,2021.0,4.0,2.0,2.0,4.0,5.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Modular Kitchen, MiCrowave, Dining Room, Guest Room, Modular Kitchen, Bed Room",Lalitpur
