neighborhood,district,location_raw,price_per_aana,land_size_aana,calculated_total_price,road_width_feet,road_type,facing,is_wide_road,is_price_suspect,is_large_plot,is_rate_outlier,is_price_outlier
Duwakot,Bhaktapur,"Duwakot, Bhaktapur",2200000.0,3.1,6820000.0,20.0,Gravel,West,False,False,False,False,False
Sitapakha,Lalitpur,"Sitapakha, Lalitpur",3800000.0,,,13.0,Paved,West,False,False,False,False,False
Changathali,Lalitpur,"Changathali, Lalitpur",4000000.0,,,20.0,Paved,South,False,False,False,False,False
Gothatar,Kathmandu,"Gothatar, Kathmandu",3500000.0,3.3,11550000.0,13.0,Paved,North,False,False,False,False,False
Shital Height,Lalitpur,"Shital Height, Lalitpur",4500000.0,,,20.0,Paved,North-East,False,False,False,False,False
Changathali,Lalitpur,"Changathali, Lalitpur",3500000.0,,,13.0,Paved,West,False,False,False,False,False
Chakupat,Lalitpur,"Chakupat, Lalitpur",8000000.0,8.2,65599999.99999999,26.0,Pitched,East,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",4000000.0,,,20.0,Paved,West,False,False,False,False,False
Chandragiri,Kathmandu,"Chandragiri, Kathmandu",2900000.0,,,15.0,Gravel,North,False,False,False,False,False
Kusunti,Lalitpur,"Kusunti, Lalitpur",4500000.0,3.2,14400000.0,13.0,Paved,West,False,False,False,False,False
Dholahiti,Lalitpur,"Dholahiti, Lalitpur",4500000.0,,,26.0,Paved,South-West,False,False,False,False,False
Bhairabnath Mandir,Bhaktapur,"Bhairabnath Mandir, Bhaktapur",5000000.0,,,26.0,Paved,,False,False,False,False,False
Rudreshwor,Kathmandu,"Rudreshwor, Kathmandu",5200000.0,,,13.0,Pitched,West,False,False,False,False,False
Dudhpati,Bhaktapur,"Dudhpati, Bhaktapur",4300000.0,5.1,21930000.0,20.0,Paved,South,False,False,False,False,False
Taukhel,Lalitpur,"Taukhel, Lalitpur",2500000.0,,,16.0,Pitched,South-East,False,False,False,False,False
Chhaling,Bhaktapur,"Chhaling, Bhaktapur",2500000.0,,,26.0,Paved,East,False,False,False,False,False
Bhandari Marg,Lalitpur,"Bhandari Marg, Lalitpur",3900000.0,,,13.0,Gravel,East,False,False,False,False,False
Suncity,Kathmandu,"Suncity, Kathmandu",3800000.0,3.1,11780000.0,13.0,Paved,South-East,False,False,False,False,False
Gothatar,Kathmandu,"Gothatar, Kathmandu",4300000.0,3.1,13330000.0,13.0,Paved,West,False,False,False,False,False
Gothatar,Kathmandu,"Gothatar, Kathmandu",4500000.0,,,13.0,Paved,East,False,False,False,False,False
Gothatar,Kathmandu,"Gothatar, Kathmandu",4800000.0,3.1,14880000.0,20.0,Paved,North,False,False,False,False,False
Katunje,Bhaktapur,"Katunje, Bhaktapur",3600000.0,3.1,11160000.0,16.0,Paved,West,False,False,False,False,False
Katunje,Bhaktapur,"Katunje, Bhaktapur",3400000.0,4.2,14280000.0,20.0,Paved,North,False,False,False,False,False
Harsha Chowk,Bhaktapur,"Harsha Chowk, Bhaktapur",3400000.0,,,13.0,Paved,South,False,False,False,False,False
Katunje,Bhaktapur,"Katunje, Bhaktapur",3300000.0,,,13.0,Paved,South,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",3800000.0,,,15.0,Paved,West,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",4000000.0,,,13.0,Paved,East,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",4500000.0,,,16.0,Paved,South,False,False,False,False,False
