url,source,district,property_id,title,property_type,property_face,road_type,negotiable,city_area,pricing_raw,purpose,property_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,neighborhood,landmark,hospital,airport,pharmacy,bhatbhateni,school,public_transport,police_station,pashupatinath,boudhanath,ward_office
https://lalpurjanepal.com.np/properties/land-for-sale-at-suryabinayak-bhaktapur-8601,lalpurja,Bhaktapur,8601,Property Details,Residential,South,Blacktopped,Yes,"Bhaktapur, Suryabinayak",3 Crore 10 Lakh,Sale,5 Aana,13 Feet,F 40 Feet,2025 November 18,1746,Suryabinayak,05,4km,Suryabinayak,Suryabinayak | Thapa Banquet,3km,14km,500m,5km,500m,1.7km,1.7km,7km,9km,400m
https://lalpurjanepal.com.np/properties/land-for-sale-at-sudalbhaktapur-8524,lalpurja,Bhaktapur,8524,Property Details,Residential,West,Blacktopped,Yes,"Bhaktapur, Sudal",24 Lakh Per Aana,Sale,3.25 Aana,20 Feet,F 25 Feet,2025 October 26,373,Changunarayan,08,20km,Sudal,Sudal | Thuli Bramhayani Temple,6km,19km,5km,11km,2km,100m,2km,21km,9km,2km
https://lalpurjanepal.com.np/properties/land-for-sale-at-sudalbhaktapur-8523,lalpurja,Bhaktapur,8523,Property Details,Residential,West,Blacktopped,Yes,"Bhaktapur, Sudal",24 Lakh Per Aana,Sale,4.5 Aana,20 Feet,F 27 Feet,2025 October 26,277,Changunarayan,08,20km,Sudal,Sudal | Thuli Bramhayani Temple,6km,19km,3km,11km,1km,100m,1km,21km,9km,2km
https://lalpurjanepal.com.np/properties/land-for-sale-at-tathalibhaktapur-8522,lalpurja,Bhaktapur,8522,Property Details,Residential,West,Soil Stabilized,Yes,"Bhaktapur, Chyamasingha",25 Lakh Per Aana,Sale,4.25 Aana,20 Feet,F 26 Feet,2025 October 26,287,Changunarayan,09,15km,Chyamasingha,Tathali | Bramhayani Temple,1.8km,14km,1.8km,6.3km,500m,500m,2km,16km,9km,
https://lalpurjanepal.com.np/properties/land-for-sale-at-sudalbhaktapur-8465,lalpurja,Bhaktapur,8465,Property Details,Residential,South-West,Paved,Yes,"Bhaktapur, Sudal",23 Lakh Per Aana,Sale,5.25 Aana,20 Feet,F 25 Feet,2025 October 10,214,Changunarayan,08,17km,Sudal,Sudal | Worke Pali,4km,17km,2km,8.9km,1km,500m,1km,19km,9km,
https://lalpurjanepal.com.np/properties/land-for-sale-at-duwakotbhaktapur-8464,lalpurja,Bhaktapur,8464,Property Details,Residential,West,Soil Stabilized,Yes,"Bhaktapur, Duwakot",34 Lakh Per Aana,Sale,4 Aana,20 Feet,F 50 Feet,2025 October 10,203,Changunarayan,04,15km,Duwakot,Duwakot | Nepal Engineering College,2km,15km,1km,6.5km,1km,100m,1km,15km,9km,
https://lalpurjanepal.com.np/properties/east-face-land-for-sale-at-duwakot-8462,lalpurja,Bhaktapur,8462,Property Details,Residential,East,Gravelled,Yes,"Bhaktapur, Duwakot",26 Lakh Per Aana,Sale,5 Aana,13 Feet,F 22 Feet,2025 October 9,272,Changunarayan,04,6km,Duwakot,Duwakot | Nepal Engineering College,3km,8km,300m,5km,300m,150m,200m,12km,11km,1km
https://lalpurjanepal.com.np/properties/land-for-sale-at-darjeeling-height-8443,lalpurja,Bhaktapur,8443,Property Details,Residential,South-East,Paved,No,"Bhaktapur, Suryabinayak",26 Lakh Per Aana,Sale,4 Aana,20 Feet,F 36 | L 39 | B 26 | L 43 Feet,2025 October 7,565,Suryabinayak,08,4km,Suryabinayak,Suryabinayak | Darjeeling Height,3km,14km,500m,5km,500m,1.7km,1.7km,16km,20km,400m
https://lalpurjanepal.com.np/properties/east-face-land-for-sale-at-lokanthali-8416,lalpurja,Bhaktapur,8416,Property Details,Residential,East,Blacktopped,Yes,"Bhaktapur, Lokanthali",45 Lakh Per Aana,Sale,3.5 Aana,13 Feet,F 23 Feet | B 27 Feet,2025 September 23,340,Madhyapur Thimi,02,3km,Lokanthali,Lokanthali | Matri Bhumi School,2km,3.5km,500m,2km,500m,300m,600m,5.5km,6.3km,400m
https://lalpurjanepal.com.np/properties/plotting-land-for-sale-at-bhatidhikurobhaktapur-8388,lalpurja,Bhaktapur,8388,Property Details,Residential,South-East,Blacktopped,Yes,"Bhaktapur, Jagati",38 Lakh Per Aana,Sale,5 Ropani,20 Feet,F 24 | F 29 Feet,2025 September 18,217,Suryabinayak,09,15km,Jagati,Jagati | Hotel City Gaun,1.8km,14km,500m,5km,1km,100m,1km,16km,9km,
https://lalpurjanepal.com.np/properties/commercial-land-for-sale-at-bhatidhikurobhaktapur-8387,lalpurja,Bhaktapur,8387,Property Details,Commercial,North,Blacktopped,Yes,"Bhaktapur, Jagati",35 Lakh Per Aana,Sale,4 Ropani,60 Feet,F 55 Feet,2025 September 18,220,Suryabinayak,09,15km,Jagati,Jagati | Hotel City Gaun,1.8km,14km,500m,5.8km,500m,50m,300m,16km,9km,
https://lalpurjanepal.com.np/properties/4-aana-land-for-sale-at-balkot-dharapati-8367,lalpurja,Bhaktapur,8367,Property Details,Residential,South-East,Soil Stabilized,Yes,"Bhaktapur, Balkot",41 Lakh 50 Thousand Per Aana,Sale,4.5 Aana,20 Feet,F 25.3 | L 64 Feet,2025 September 15,135,Suryabinayak,02,4km,Balkot,Balkot | Dharapati,1km,6km,100m,3km,200m,100m,1.7km,10km,14km,300m
https://lalpurjanepal.com.np/properties/7-ropani-land-for-sale-at-kamerotar-planning-8323,lalpurja,Bhaktapur,8323,Property Details,Commercial,South,Blacktopped,Yes,"Bhaktapur, Radhe Radhe",65 Lakh Per Aana,Sale,7 Ropani,26 Feet,F 40 Feet,2025 September 4,210,Madhyapur Thimi,08,5km,Radhe Radhe,Radhe Radhe | Kamerotar Planning,1.5km,6km,300m,150m,200m,200m,500m,10km,11km,700m
https://lalpurjanepal.com.np/properties/land-for-sale-at-sirutar-8312,lalpurja,Bhaktapur,8312,Property Details,Residential,South-West,Soil Stabilized,Yes,"Bhaktapur, Sirutar",36 Lakh Per Aana,Sale,4.5 Aana,10 Feet,F 36 Feet,2025 September 3,162,Suryabinayak,01,4km,Sirutar,Bhaktapur | Sirutar Chowk,3km,10km,500m,5km,500m,20m,20m,14km,18km,200m
https://lalpurjanepal.com.np/properties/4-aana-land-for-sale-at-sirutar-8311,lalpurja,Bhaktapur,8311,Property Details,Residential,East,Gravelled,Yes,"Bhaktapur, Sirutar",32 Lakh Per Aana,Sale,4 Aana,13 Feet,F 26 | 51 Feet,2025 September 3,232,Suryabinayak,01,4km,Sirutar,Sirutar | Candid School,2km,10km,500m,4km,100m,100m,300m,12km,16km,300m
https://lalpurjanepal.com.np/properties/land-for-sale-at-bakot-8310,lalpurja,Bhaktapur,8310,Property Details,Residential,South-West,Soil Stabilized,Yes,"Bhaktapur, Balkot",36 Lakh Per Aana,Sale,3.75 Aana,13 Feet,F 41 Feet,2025 September 3,292,Suryabinayak,03,4km,Balkot,Balkot | Ward No.3,2km,8km,500m,5km,300m,500m,1.7km,10km,14km,300m
https://lalpurjanepal.com.np/properties/land-for-sale-at-sipadolbhaktapur-8297,lalpurja,Bhaktapur,8297,Property Details,Residential,North-West,Paved,Yes,"Bhaktapur, Sipadol",27 Lakh Per Aana,Sale,5.25 Aana,10 Feet,F 25 Feet,2025 September 2,163,Suryabinayak,08,12km,Sipadol,Sipadol | Suryabinayak Ward No.8,3km,14km,1km,6.5km,1km,200m,2km,16km,9km,
