url,source,category,district,property_id,title,total_price_raw,property_type,property_face,year_built,road_type,negotiable,furnishing,city_area,pricing_raw,purpose,property_area,built_up_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,landmark,hospital,airport,pharmacy,bhatbhateni,school,college,gym,public_transport,police_station,pashupatinath,boudhanath,atm,hotel,restaurant,banquet,ward_office,neighborhood,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors
https://lalpurjanepal.com.np/properties/south-face-house-for-sale-at-bode-8384,lalpurja,house,Bhaktapur,8384,Property Details,1 Crore 65 Lakh,Residential,South,2081,Gravelled,No,Unfurnished,"Bhaktapur, Bode",1 Crore 65 Lakh,Sale,4 Aana,1950 square-feet,13 Feet,F 40 Feet,2025 September 17,450,Madhyapur Thimi,3.0,5km,Bode |  Nilbarai Temple,2km,4.6km,400m,2.6km,500m,2km,600m,200m,600m,5.2km,5.7km,600m,800m,600m,650m,900m,Bode,4,2,2,2,5,2
https://lalpurjanepal.com.np/properties/east-face-semi-bungalow-for-sale-at-gatthaghar-8319,lalpurja,house,Bhaktapur,8319,Property Details,4 Crore 10 Lakh,Residential,East,2081,Soil Stabilized,Yes,Full Furnished,"Bhaktapur, Gatthaghar",4 Crore 10 Lakh,Sale,4 Aana,4800 square-feet,20 Feet,,2025 September 4,471,Madhyapur Thimi,2.0,2.5km,Gatthaghar | Chandreshwori Marg,4km,6km,300m,3km,400m,2km,500m,200m,1km,8km,12km,300m,500m,300m,600m,300m,Gatthaghar,9,2,7,2,5,4.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-sipadolbhaktapur-8294,lalpurja,house,Bhaktapur,8294,Property Details,1 Crore 65 Lakh,Residential,South,2081,Soil Stabilized,Yes,Unfurnished,"Bhaktapur, Sipadol",1 Crore 65 Lakh,Sale,3 Aana,1820.63 square-feet,13 Feet,,2025 September 2,533,Suryabinayak,8.0,12km,Sipadol | Sipadol Planning,2.3km,15km,1km,6.2km,1km,3km,4km,200m,1km,17km,,2km,2km,2km,2km,,Sipadol,5,1,3,1,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-sudalbhaktapur-8183,lalpurja,house,Bhaktapur,8183,Property Details,1 Crore 35 Lakh,Residential,South,2080,Soil Stabilized,Yes,Unfurnished,"Bhaktapur, Sudal",1 Crore 35 Lakh,Sale,4 Aana,945.78 square-feet,13 Feet,,2025 August 24,172,Changunarayan,8.0,20km,Sudal | Worke Pali,3.4km,16km,3km,8.3km,500m,3km,3.5km,200m,300m,18km,,3.5km,4km,4km,3.4km,2km,Sudal,2,1,1,1,1,1
https://lalpurjanepal.com.np/properties/house-for-sale-at-balkot-8146,lalpurja,house,Bhaktapur,8146,Property Details,2 Crore 40 Lakh,Residential,West,2076,Gravelled,Yes,Unfurnished,"Bhaktapur, Balkot",2 Crore 40 Lakh,Sale,3.37 Aana,1026.75 square-feet,13 Feet,F 39 Feet,2025 August 20,434,Suryabinayak,2.0,,Balkot | Banglamukhi Mandir,1.5km,5km,,2km,,,,500m,,7km,11km,,,,500m,500m,Balkot,4,3,3,3,1,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-radhe-radhebhaktapur-8143,lalpurja,house,Bhaktapur,8143,Property Details,3 Crore 90 Lakh,Residential,South,2078,Blacktopped,Yes,Semi Furnished,"Bhaktapur, Radhe Radhe",3 Crore 90 Lakh,Sale,3.87 Aana,3085.6 square-feet,20 Feet,,2025 August 20,270,Suryabinayak,5.0,12km,Radhe Radhe | Bhatbhateni Super Market,1.5km,9km,700m,800m,1km,1km,1km,800m,800m,11km,,700m,700m,700m,1km,,Radhe Radhe,4,1,5,1,1,3.5
https://lalpurjanepal.com.np/properties/commercial-house-for-salt-at-naya-thimi-8021,lalpurja,house,Bhaktapur,8021,Property Details,4 Crore,Commercial,West,2068,Blacktopped,Yes,Unfurnished,"Bhaktapur, Madhyapur Thimi",4 Crore,Sale,7.37 Aana,,20 Feet,,2025 August 12,222,Suryabinayak,3.0,,Bhaktapur | Madhyapur Thimi,500m,8km,,1.5km,,,,,,10km,14km,,,,,1.5km,Madhyapur Thimi,20,4,6,,1,4.5
https://lalpurjanepal.com.np/properties/bunglow-for-sale-at-adhikari-tole-balkot-8020,lalpurja,house,Bhaktapur,8020,Property Details,9 Crore,Residential,North-East,2077,Blacktopped,Yes,Full Furnished,"Bhaktapur, Balkot",9 Crore,Sale,11.5 Aana,3407 square-feet,24 Feet,F 41 | L 90 Feet,2025 August 12,372,Suryabnayak,3.0,,Balkot | Kathmandu School of Law,1km,8.5km,,2.5km,500k,500m,,200m,,10km,15km,,,,500m,800m,Balkot,7,2,7,2,4,3
https://lalpurjanepal.com.np/properties/house-for-sale-in-bhaktapur-8015,lalpurja,house,Bhaktapur,8015,Property Details,1 Crore 80 Lakh,Residential,South-West,2078,Soil Stabilized,Yes,Semi Furnished,"Bhaktapur, Bhaktapur",1 Crore 80 Lakh,Sale,4.25 Aana,760 square-feet,20 Feet,,2025 August 12,540,Changunarayan,8.0,,Bhaktapur | District Court,2km,14km,,6km,,2km,,50m,,16km,20km,,,,500m,800m,Bhaktapur,2,1,1,1,1,1
https://lalpurjanepal.com.np/properties/house-for-sale-at-duwakotbhaktapur-7991,lalpurja,house,Bhaktapur,7991,Property Details,3 Crore 10 Lakh,Residential,North-West,2074,Blacktopped,Yes,Semi Furnished,"Bhaktapur, Duwakot",3 Crore 10 Lakh,Sale,5 Aana,2785.91 square-feet,20 Feet,,2025 August 11,168,Changunarayan,2.0,15km,Duwakot | Changunarayan Ward Office No.2,1.5km,12km,500m,3.5km,500m,2km,4km,200m,500m,14km,,2km,2km,2km,2km,500m,Duwakot,6,1,4,2,2,3.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-dadhikot-7978,lalpurja,house,Bhaktapur,7978,Property Details,2 Crore 35 Lakh,Residential,North-East,2081,Blacktopped,No,Semi Furnished,"Bhaktapur, Dadhikot",2 Crore 35 Lakh,Sale,3.25 Aana,1812 square-feet,13 Feet,,2025 August 11,328,Suryabinayak,3.0,6.5km,Dadhikot | Pani Tanki,1.5km,8km,300m,2km,100m,900m,,300m,,11km,15km,,,,200m,900m,Dadhikot,5,1,3,1,1,2.5
