url,source,category,district,property_id,title,total_price_raw,property_type,property_face,year_built,road_type,negotiable,furnishing,city_area,pricing_raw,purpose,property_area,built_up_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,landmark,hospital,airport,pharmacy,bhatbhateni,school,college,gym,public_transport,police_station,pashupatinath,boudhanath,atm,hotel,restaurant,banquet,ward_office,neighborhood
https://lalpurjanepal.com.np/properties/house-for-sale-at-dhapasi-tokha-8573,lalpurja,house,Kathmandu,8573,Property Details,7 Crore 55 lakh,Residential,East,2079,Blacktopped,Yes,Full Furnished,"Kathmandu, Dhapasi",7 Crore 55 lakh,Sale,8 Aana,5 aana,13 Feet,F55feet,2025 November 8,2506.0,Tokha,07,2km,Triyog School,500m,6km,100m,300m,100m,,,50m,500m,5km,5km,,,,,1km,Dhapasi
https://lalpurjanepal.com.np/properties/land-for-sale-at-banasthali-8559,lalpurja,house,Kathmandu,8559,Property Details,35 Lakh Per Aana,Residential,South,,Paved,Yes,,"Kathmandu, Banasthali",35 Lakh Per Aana,Sale,4.25 Aana,,10 Feet,40 ft,2025 October 30,1759.0,Kathmandu,16,800m,Banasthali | Himalayan Experts Pvt. Ltd,OM Samaj Dental Hospital - 1km,8.8 km,,,Elegent School - 200m,Siddhartha Vanasthali Institute - 700m,,800m,,7.4km,10km,,,,,16,Banasthali
https://lalpurjanepal.com.np/properties/land-for-sale-at-bafal-8558,lalpurja,house,Kathmandu,8558,Property Details,50 Lakh Per Aana,Residential,South-East,,Paved,Yes,,"Kathmandu, Bafal",50 Lakh Per Aana,Sale,5.5 Aana,,13 Feet,F 50 Feet,2025 October 30,862.0,Kathmandu,13,600m,Bafal | Makuchhen Bakery,Universal Dental Hospital - 1.2km,10km,,,Harvard School - 100m,Siddhartha Multiple College - 800m,,100m,,7.5km,12km,,,,,13,Bafal
https://lalpurjanepal.com.np/properties/3-aana-house-for-sale-at-mulpani-8555,lalpurja,house,Kathmandu,8555,Property Details,2 Crore 35 Lakh,Residential,South-West,2078,Paved,Yes,Unfurnished,"Kathmandu, Mulpani",2 Crore 35 Lakh,Sale,3 Aana,2538 square-feet,13 Feet,F 40 Feet,2025 October 29,729.0,Kageshwori Manohara,07,5km,Mulpani | Ambersing Chowk,2.5km,7km,400m,4km,500m,2km,700m,100m,600m,4.2km,5km,500m,600m,600m,500m,150m,Mulpani
https://lalpurjanepal.com.np/properties/house-on-sale-at-kapan-lasuntar-8554,lalpurja,house,Kathmandu,8554,Property Details,3 Crore 75 Lakh,Residential,South-East,2082,alley,Yes,Semi Furnished,"Kathmandu, Kapan",3 Crore 75 Lakh,Sale,4 Aana,2665 square-feet,14 Feet,F 34 Feet,2025 October 29,743.0,Budanilkantha,11,3.5km,Kapan | sailungeshwor Colony,1km,7km,150m,,,,,250m,,6km,6.5km,,,,,,Kapan
https://lalpurjanepal.com.np/properties/house-on-sale-at-sukedhara-nilopul-8553,lalpurja,house,Kathmandu,8553,Property Details,4 Crore 25 Lakh,Residential,North,2082,alley,Yes,Semi Furnished,"Kathmandu, Sukedhara",4 Crore 25 Lakh,Sale,5.48 Aana,3000 square-feet,12 Feet,F 35 Feet,2025 October 29,980.0,Budhanilkantha,10,500m,Sukedhara | Nilopul,,5km,80m,,,,,80m,,4km,4.5km,,,,,,Sukedhara
https://lalpurjanepal.com.np/properties/house-for-sale-at-kuleshwor-8552,lalpurja,house,Kathmandu,8552,Property Details,8 Crore,Residential,West,2080,Paved,Yes,,"Kathmandu, Kuleshwor",8 Crore,Sale,8.5 Aana,1369 square-feet,16 Feet,F 50 Feet,2025 October 29,1053.0,Kathmandu,14,400m,Kuleshwor | Banglamukhi Mandir,Sahid Memorable Hospital - 1km,9.7km,,,Kuleshwor Awash Secondary School - 100m,Jana Maitri College - 100m,,400m,,9km,10km,,,,,14,Kuleshwor
https://lalpurjanepal.com.np/properties/house-for-sale-at-sitapaila-8550,lalpurja,house,Kathmandu,8550,Property Details,2 Crore 80 Lakh,Residential,East,,Paved,Yes,,"Kathmandu, Sitapaila",2 Crore 80 Lakh,Sale,3 Aana,2200 square-feet,13 Feet,,2025 October 29,881.0,Nagarjun,06,700m,Sitapaila | Kumari Mandir,500m,11km,,2km,,,,100m,,9km,13km,,,,,500m,Sitapaila
https://lalpurjanepal.com.np/properties/house-for-sale-at-sitapaila-8547,lalpurja,house,Kathmandu,8547,Property Details,2 Crore 50 Lakh,Residential,East,2082,Gravelled,Yes,Semi Furnished,"Kathmandu, Sitapaila",2 Crore 50 Lakh,Sale,3.5 Aana,2500 square-feet,13 Feet,,2025 October 29,1450.0,Nagarjun,03,2.5km,Sitapaila | Sitapaila Chowk,2km,11km,,3km,,,,200m,,12km,13km,,,,,500m,Sitapaila
https://lalpurjanepal.com.np/properties/house-for-sale-at-kalanki-8546,lalpurja,house,Kathmandu,8546,Property Details,2 Crore 80 Lakh,Commercial,East,2082,Blacktopped,Yes,Semi Furnished,"Kathmandu, Kalanki",2 Crore 80 Lakh,Sale,3 Aana,2200 square-feet,13 Feet,,2025 October 29,686.0,Nagarjun,04,1km,Kalanki | LRI School,,11km,,1km,200m,,,200m,,12km,13km,,,,,500m,Kalanki
