url,source,category,district,property_id,title,total_price_raw,property_type,property_face,year_built,road_type,negotiable,furnishing,city_area,pricing_raw,purpose,property_area,built_up_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,landmark,hospital,airport,pharmacy,bhatbhateni,school,college,gym,public_transport,police_station,pashupatinath,boudhanath,atm,hotel,restaurant,banquet,ward_office,neighborhood,property_type_stat,land_area_aana,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors
https://lalpurjanepal.com.np/properties/house-for-sale-at-dhapasi-tokha-8573,lalpurja,house,Kathmandu,8573,Property Details,7 Crore 55 lakh,Residential,East,2079,Blacktopped,Yes,Full Furnished,"Kathmandu, Dhapasi",7 Crore 55 lakh,Sale,8 Aana,5 aana,13 Feet,F55feet,2025 November 8,2506.0,Tokha,07,2km,,,,,,,,,,,,,,,,,,Dhapasi,House,8.0,5.0,1.0,5.0,1.0,5.0,2.5
https://lalpurjanepal.com.np/properties/land-for-sale-at-banasthali-8559,lalpurja,house,Kathmandu,8559,Property Details,35 Lakh Per Aana,Residential,South,,Paved,Yes,,"Kathmandu, Banasthali",35 Lakh Per Aana,Sale,4.25 Aana,,10 Feet,40 ft,2025 October 30,1759.0,Kathmandu,16,800m,,,,,,,,,,,,,,,,,,Banasthali,House,4.25,,,,,,
https://lalpurjanepal.com.np/properties/land-for-sale-at-bafal-8558,lalpurja,house,Kathmandu,8558,Property Details,50 Lakh Per Aana,Residential,South-East,,Paved,Yes,,"Kathmandu, Bafal",50 Lakh Per Aana,Sale,5.5 Aana,,13 Feet,F 50 Feet,2025 October 30,862.0,Kathmandu,13,600m,,,,,,,,,,,,,,,,,,Bafal,House,5.5,,,,,,
https://lalpurjanepal.com.np/properties/3-aana-house-for-sale-at-mulpani-8555,lalpurja,house,Kathmandu,8555,Property Details,2 Crore 35 Lakh,Residential,South-West,2078,Paved,Yes,Unfurnished,"Kathmandu, Mulpani",2 Crore 35 Lakh,Sale,3 Aana,2538 square-feet,13 Feet,F 40 Feet,2025 October 29,729.0,Kageshwori Manohara,07,5km,,,,,,,,,,,,,,,,,,Mulpani,House,3.0,7.0,3.0,4.0,3.0,5.0,3.5
https://lalpurjanepal.com.np/properties/house-on-sale-at-kapan-lasuntar-8554,lalpurja,house,Kathmandu,8554,Property Details,3 Crore 75 Lakh,Residential,South-East,2082,alley,Yes,Semi Furnished,"Kathmandu, Kapan",3 Crore 75 Lakh,Sale,4 Aana,2665 square-feet,14 Feet,F 34 Feet,2025 October 29,743.0,Budanilkantha,11,3.5km,,,,,,,,,,,,,,,,,,Kapan,House,4.0,6.0,2.0,5.0,2.0,1.0,2.5
https://lalpurjanepal.com.np/properties/house-on-sale-at-sukedhara-nilopul-8553,lalpurja,house,Kathmandu,8553,Property Details,4 Crore 25 Lakh,Residential,North,2082,alley,Yes,Semi Furnished,"Kathmandu, Sukedhara",4 Crore 25 Lakh,Sale,5.48 Aana,3000 square-feet,12 Feet,F 35 Feet,2025 October 29,980.0,Budhanilkantha,10,500m,,,,,,,,,,,,,,,,,,Sukedhara,,,6,2,5,2,2,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-kuleshwor-8552,lalpurja,house,Kathmandu,8552,Property Details,8 Crore,Residential,West,2080,Paved,Yes,,"Kathmandu, Kuleshwor",8 Crore,Sale,8.5 Aana,1369 square-feet,16 Feet,F 50 Feet,2025 October 29,1053.0,Kathmandu,14,400m,,,,,,,,,,,,,,,,,,Kuleshwor,,,7,3,5,3,3,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-sitapaila-8550,lalpurja,house,Kathmandu,8550,Property Details,2 Crore 80 Lakh,Residential,East,,Paved,Yes,,"Kathmandu, Sitapaila",2 Crore 80 Lakh,Sale,3 Aana,2200 square-feet,13 Feet,,2025 October 29,881.0,Nagarjun,06,700m,,,,,,,,,,,,,,,,,,Sitapaila,,,5,2,4,2,1,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-sitapaila-8547,lalpurja,house,Kathmandu,8547,Property Details,2 Crore 50 Lakh,Residential,East,2082,Gravelled,Yes,Semi Furnished,"Kathmandu, Sitapaila",2 Crore 50 Lakh,Sale,3.5 Aana,2500 square-feet,13 Feet,,2025 October 29,1450.0,Nagarjun,03,2.5km,,,,,,,,,,,,,,,,,,Sitapaila,,,6,2,4,2,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-kalanki-8546,lalpurja,house,Kathmandu,8546,Property Details,2 Crore 80 Lakh,Commercial,East,2082,Blacktopped,Yes,Semi Furnished,"Kathmandu, Kalanki",2 Crore 80 Lakh,Sale,3 Aana,2200 square-feet,13 Feet,,2025 October 29,686.0,Nagarjun,04,1km,,,,,,,,,,,,,,,,,,Kalanki,,,5,2,4,2,1,2.5
