url,source,district,property_id,title,property_type,property_face,road_type,negotiable,city_area,pricing_raw,purpose,property_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,neighborhood,landmark,hospital,airport,pharmacy,bhatbhateni,school,public_transport,police_station,pashupatinath,boudhanath,ward_office
https://lalpurjanepal.com.np/properties/land-for-sale-at-tarkeshwor-8557,lalpurja,Kathmandu,8557,Property Details,Residential,South-East,Blacktopped,Yes,"Kathmandu, Tarkeshwor",35 Lakh Per Aana,Sale,5.5 Aana,12 Feet,F 30 Feet,2025 October 29,960,Tarkeshwor,04,2km,Tarkeshwor,Tarkeshwor | Sunflower School,1km,8km,500m,6km,500m,500m,1km,7km,7km,1km
https://lalpurjanepal.com.np/properties/land-for-sale-at-tarkeshwor-kavresthali-8556,lalpurja,Kathmandu,8556,Property Details,Commercial,North-East,Blacktopped,Yes,"Kathmandu, Kavresthali",33 Lakh Per Aana,Sale,14 Aana,36 Feet,F 60 Feet,2025 October 29,798,Tarkeshwor,02,5km,Kavresthali,Tarkeshwor | Kavresthali Buspark,1km,9km,1km,7km,1km,0m,1km,8km,8km,2km
https://lalpurjanepal.com.np/properties/land-for-sale-at-budhanilkantha-8549,lalpurja,Kathmandu,8549,Property Details,Residential,South-West,Blacktopped,Yes,"Kathmandu, Budhanilkantha",42 Lakh Per Aana,Sale,4 Aana,13 Feet,F 28 Feet,2025 October 29,845,Budhanilkantha,04,2km,Budhanilkantha,Budhanilkantha | Pasikot Height,800m,7km,100m,2.5km,500m,20m,800m,6km,6km,100m
https://lalpurjanepal.com.np/properties/land-of-sale-at-budhanilkantha-8543,lalpurja,Kathmandu,8543,Property Details,Residential,Save Property,Soil Stabilized,Yes,"Kathmandu, Budhanilkantha",35 Lakh Per Aana,Sale,4.5 Aana,13 Feet,F 31 Feet,2025 October 28,704,Budhanilkantha,06,3km,Budhanilkantha,Budhanilkantha | Imperial World School,300m,4km,200m,500m,20m,100m,300m,4km,4km,100m
https://lalpurjanepal.com.np/properties/land-for-sale-at-lasunta-kapan-8532,lalpurja,Kathmandu,8532,Property Details,Residential,East,Gravelled,Yes,"Kathmandu, Kapan",40 Lakh Per Aana,Sale,4 Aana,13 Feet,F 34 Feet,2025 October 26,414,Budhanilkantha,11,5km,Kapan,Kapan | Kapan Gumba,400m,8km,380m,2km,350m,600m,800m,5km,4km,450m
https://lalpurjanepal.com.np/properties/land-for-sale-at-italitar-budhanilkantha-8531,lalpurja,Kathmandu,8531,Property Details,Residential,South-West,Gravelled,Yes,"Kathmandu, Budhanilkantha",45 Lakh Per Aana,Sale,6 Aana,13 Feet,F 36 Feet,2025 October 26,361,Budhanilkantha,08,2km,Budhanilkantha,Italitar | Khadka Gau,500m,6km,250m,400m,650m,250m,400m,5km,5km,350m
https://lalpurjanepal.com.np/properties/land-for-sale-at-ramkot-nagarjun-8521,lalpurja,Kathmandu,8521,Property Details,Commercial,South,Blacktopped,Yes,"Kathmandu, Ramkot",40 Lakh Per Aana,Sale,28 Aana,36 Feet,F 81 Feet,2025 October 25,637,Nagarjun,06,5km,Ramkot,Ramkot | Padma Colony,1km,7km,500m,6km,300m,0m,500m,6km,6km,1km
https://lalpurjanepal.com.np/properties/land-for-sale-at-budhanilkantha-bhangal-8519,lalpurja,Kathmandu,8519,Property Details,Residential,South-East,Blacktopped,Yes,"Kathmandu, Budhanilkantha",45 Lakh Per Aana,Sale,4 Aana,13 Feet,F 28 Feet,2025 October 21,387,Budhanilkantha,08,1km,Budhanilkantha,Budhanilkantha | Bhangal Height,500m,4km,100m,1km,200m,200m,800m,3k,3km,800m
https://lalpurjanepal.com.np/properties/land-for-sale-at-budhanilkantha-8506,lalpurja,Kathmandu,8506,Property Details,Residential,North-East,Gravelled,Yes,"Kathmandu, Budhanilkantha",45 Lakh Per Aana,Sale,4.5 Aana,20 Feet,F 28 Feet,2025 October 15,580,Budhanilkantha,06,1.5km,Budhanilkantha,Budhanilkantha | Hattigauda Chowk,700m,4km,200m,1.5km,200m,200m,800m,5km,5km,500m
https://lalpurjanepal.com.np/properties/land-for-at-budhanilkantha-8505,lalpurja,Kathmandu,8505,Property Details,Residential,South,Paved,Yes,"Kathmandu, Budhanilkantha",50 Lakh Per Aana,Sale,46 Aana,13 Feet,F 28 Feet,2025 October 15,325,Budhanilkantha,02,2km,Budhanilkantha,Budhanilkantha | Chapali Gumti,500m,8km,100m,2km,100m,200m,500m,7km,7km,600m
