url,source,district,property_id,title,property_type,property_face,road_type,negotiable,city_area,pricing_raw,purpose,property_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,neighborhood,landmark,hospital,airport,pharmacy,bhatbhateni,school,public_transport,police_station,pashupatinath,boudhanath,ward_office
https://lalpurjanepal.com.np/properties/land-for-sale-at-thasikhel-8561,lalpurja,Lalitpur,8561,Property Details,Residential,North-West,Paved,Yes,"Lalitpur, Thasikhel",40 Lakh Per Aana,Sale,3.5 Aana,8 Feet,F 27 Feet,2025 October 30,1043,Lalitpur,14,850m,Thasikhel,Thasikhel | Ranibu Ganesh Temple,1.2km,8.3km,240m,1.8km,350m,230m,2.3km,11km,12km,1.1km
https://lalpurjanepal.com.np/properties/land-for-sale-at-lalitpur-harisidhhi-8446,lalpurja,Lalitpur,8446,Property Details,Residential,West,Gravelled,Yes,"Lalitpur, Harisiddhi",35 Lakh Per Aana,Sale,5 Aana,16 Feet,F 35 Feet,2025 October 9,575,Lalitpur,29,4km,Harisiddhi,Harisiddhi | Nepal Investment Mega Bank,550m,11km,500m,4.5km,300m,300m,2km,13km,16km,1.2km
https://lalpurjanepal.com.np/properties/land-for-sale-at-lalitpur-jharuwarasi-8434,lalpurja,Lalitpur,8434,Property Details,Residential,North-West,Gravelled,Yes,"Lalitpur, Jharuwarasi",20 Lakh Per Aana,Sale,22 Aana,13 Feet,F 53 Feet,2025 September 25,628,Godawari,13,5.3km,Jharuwarasi,Jharuwarasi | Ganesh Mandir,2.5km,12km,1.8km,5.5km,1km,500m,2.4km,14km,17km,1.2km
https://lalpurjanepal.com.np/properties/land-for-sale-at-taukhel-kitini-8415,lalpurja,Lalitpur,8415,Property Details,Residential,South-West,Paved,Yes,"Lalitpur, Taukhel",26 Lakh Per Aana,Sale,4.5 Aana,13 Feet,F 32 Feet,2025 September 23,200,Godawari,03,6km,Taukhel,Taukhel | Kitini School,400m,10km,300m,1200m,100m,150m,400m,16km,20km,300m
https://lalpurjanepal.com.np/properties/land-for-sale-at-dhapakhel-lalitpur-8406,lalpurja,Lalitpur,8406,Property Details,Residential,West,Paved,Yes,"Lalitpur, Dhapakhel",43 Lakh Per Aana,Sale,4 Aana,13 Feet,F 40 Feet,2025 September 19,324,Lalitpur,02,2km,Dhapakhel,Dhapakhel | Tewa Office,400m,10km,300m,600m,200m,100m,450m,14km,20km,450m
https://lalpurjanepal.com.np/properties/land-for-sell-at-bhaisepati-8399,lalpurja,Lalitpur,8399,Property Details,Commercial,East,Blacktopped,Yes,"Lalitpur, Lalitpur",1 Crore Per Aana,Sale,8.5 Aana,22 Feet,F 65 Feet,2025 September 19,328,Lalitpur,18,1km,Lalitpur,Bhaisepati | Nepal Mediciti Hospital,500m,10km,200m,3km,100m,500m,1.7km,11km,13km,
https://lalpurjanepal.com.np/properties/residential-land-for-sale-at-bhaisepati-8392,lalpurja,Lalitpur,8392,Property Details,Residential,West,Blacktopped,Yes,"Lalitpur, Bhaisepati",75 Lakh Per Aana,Sale,19 Aana,20 Feet,F 65 Feet,2025 September 18,221,Lalitpur,18,2km,Bhaisepati,Bhaisepati | Radio Station,Nepal Mediciti Hospital,10km,500m,3km,500m,500m,1.7km,10km,12km,500m
https://lalpurjanepal.com.np/properties/land-for-sale-at-lalitpur-thasikhel-8321,lalpurja,Lalitpur,8321,Property Details,Residential,North-East,Paved,Yes,"Lalitpur, Thasikhel",65 Lakh Per Aana,Sale,8.87 Aana,10 Feet,F 51 | 39 Feet,2025 September 4,272,Lalitpur,05,150m,Thasikhel,Thasikhel | Mahalaxmi Party Venue,750m,8km,300m,1km,550m,150m,2km,10km,13km,450m
https://lalpurjanepal.com.np/properties/land-for-sale-with-house-free-at-lalitpur-thasikhel-8320,lalpurja,Lalitpur,8320,Property Details,Residential,South-West,Paved,Yes,"Lalitpur, Thasikhel",70 Lakh Per Aana,Sale,8 Aana,10 Feet,F 74 Feet,2025 September 4,559,Lalitpur,05,150m,Thasikhel,Thasikhel | Mahalaxmi Party Venue,750m,8.2km,300m,1km,550m,150m,2km,10km,13km,450m
https://lalpurjanepal.com.np/properties/land-for-sale-at-lalitpur-sunakothi-8282,lalpurja,Lalitpur,8282,Property Details,Residential,East,Gravelled,Yes,"Lalitpur, Sunakothi",35 Lakh Per Aana,Sale,9 Aana,33 Feet,F 31 Feet,2025 September 1,253,Lalitpur,26,2.5km,Sunakothi,Sunakothi | Anteem Bikalpa,2.8km,9.5km,900m,2.5km,600m,500m,3.3km,12km,15km,600m
https://lalpurjanepal.com.np/properties/land-with-house-for-sale-at-pulchowk-lalitpur-8177,lalpurja,Lalitpur,8177,Property Details,Semi-commercial,South-East,Blacktopped,Yes,"Lalitpur, Pulchowk",1 Crore 20 Lakh Per Aana,Sale,18.5 Aana,18 Feet,F 68 Feet,2025 August 22,537,Lalitpur,03,2km,Pulchowk,Pulchowk | E-Sewa Ltd,Alka Hospital - 700m,8km,500m,Pulchowk - 700m,Rato Bangala School - 1km,200m,1km,7km,10km,600m
https://lalpurjanepal.com.np/properties/land-for-sale-at-tikathali-8167,lalpurja,Lalitpur,8167,Property Details,Residential,South-East,Paved,Yes,"Lalitpur, Tikathali",41 Lakh Per Aana,Sale,5 Aana,13 Feet,F 32 Feet,2025 August 22,226,Mahalaxmi,05,4km,Tikathali,Tikathali | Pawan Prakriti School,300m,4km,100m,300m,100m,100m,100m,9km,12km,100m
https://lalpurjanepal.com.np/properties/land-with-house-for-sale-at-bhaisepati-lalitpur-8165,lalpurja,Lalitpur,8165,Property Details,Semi-commercial,South-West,Blacktopped,Yes,"Lalitpur, Bhaisepati",7 Crore 50 Lakh,Sale,5.06 Aana,22 Feet,F 25 Feet,2025 August 22,223,Lallitpur,25,2.5km,Bhaisepati,Bhaisepati | Ministerial Quarters,Nepal Mediciti - 2km,11km,500m,Pulchowk - 4.5km,Gyanodaya Bal Batika School - 3km,500m,500m,12km,15km,1km
https://lalpurjanepal.com.np/properties/land-for-sale-at-lalitpur-nakhipot-8156,lalpurja,Lalitpur,8156,Property Details,Residential,South-West,Gravelled,Yes,"Lalitpur, Nakhipot",40 Lakh Per Aana,Sale,5.5 Aana,20 Feet,F 36 Feet,2025 August 21,390,Lalitpur,26,2km,Nakhipot,Nakhipot | Shovahiti,2.4km,8.9km,700m,2km,950m,700m,2.7km,11km,14km,1km
https://lalpurjanepal.com.np/properties/land-for-sale-at-changathali-lalitpur-8149,lalpurja,Lalitpur,8149,Property Details,Residential,East,Paved,Yes,"Lalitpur, Changathali",29 Lakh Per Aana,Sale,6 Aana,10 Feet,F 36 Feet,2025 August 21,240,Mahalaxmi,07,6km,Changathali,Changlathali | United Colony,800m,10km,400m,700m,400m,20m,360m,14km,18km,400m
https://lalpurjanepal.com.np/properties/land-for-sale-at-sanepa-lalitpur-8148,lalpurja,Lalitpur,8148,Property Details,Residential,South,Blacktopped,Yes,"Lalitpur, Sanepa",78 Lakh Per Aana,Sale,6.5 Aana,13 Feet,F 31 Feet,2025 August 21,441,Lalitpur,02,450m,Sanepa,Sanepa | SOSEC Nepal,Norvic International Hospital - 2.5km,8.5km,500m,Pulchowk - 2.5km,Ideal Model School - 1.5km,350m,300m,7km,10km,1km
https://lalpurjanepal.com.np/properties/land-for-sale-at-lalitpur-dholahiti-8139,lalpurja,Lalitpur,8139,Property Details,Residential,West,Gravelled,Yes,"Lalitpur, Sunakothi",Price On Call,Sale,6 Ropani,20 Feet,F 29 | F 32 | F 34 | F 36 Feet,2025 August 20,379,Lalitpur,26,2.5km,Sunakothi,Dholahiti | Anteem Bikalpa,2.8km,9.5km,900m,2.5km,600m,500m,3.3km,12km,15km,600m
https://lalpurjanepal.com.np/properties/land-for-sale-at-manokranti-godawari-8103,lalpurja,Lalitpur,8103,Property Details,Residential,East,Paved,Yes,"Lalitpur, Godawari",25 Lakh Per Aana,Sale,32 Aana,16 Feet,F 26 | F 28 | F 30 | F 32 Feet,2025 August 19,511,Godawari,02,7km,Godawari,Godawari | Godawari Hotel,700m,12km,300m,1200m,390m,20m,400m,16km,20km,300m
https://lalpurjanepal.com.np/properties/land-for-sale-at-taukhel-godawari-8102,lalpurja,Lalitpur,8102,Property Details,Residential,East,Paved,Yes,"Lalitpur, Godawari",25 Lakh Per Aana,Sale,4 Ropani,16 Feet,F 26 | F 28 | F 32 Feet,2025 August 19,2079,Mahalaxmi,03,7km,Godawari,Taukhel | Kitini School,400m,12km,350m,1200m,200m,300m,500m,16km,20km,350m
https://lalpurjanepal.com.np/properties/land-for-sale-at-bhaisepati-lalitpur-8085,lalpurja,Lalitpur,8085,Property Details,Semi-commercial,North,Soil Stabilized,Yes,"Lalitpur, Bhaisepati",55 Lakh Per Aana,Sale,14.75 Aana,20 Feet,F 68 Feet,2025 August 18,250,Lalitpur,18,3km,Bhaisepati,Bhaisepati | Ministerial Quarters,Nepal Mediciti Hospital - 2.5km,12 km,500m,Pulchowk - 5km,Gyanodaya Bal Batika School - 2.5km,2km,1.5km,12.5km,16km,1.2km
https://lalpurjanepal.com.np/properties/land-for-sale-at-changathali-8084,lalpurja,Lalitpur,8084,Property Details,Residential,South-East,Paved,Yes,"Lalitpur, Changathali",26 Lakh Per Aana,Sale,14 Aana,13 Feet,F 32 Feet,2025 August 18,323,Mahalaxmi,7,4km,Changathali,Changathali | Changathali Gate,500m,7km,100m,400m,500m,100m,200m,9km,12km,200m
https://lalpurjanepal.com.np/properties/land-for-sale-at-lalitpur-bhaisepati-7982,lalpurja,Lalitpur,7982,Property Details,Residential,West,Paved,Yes,"Lalitpur, Bhaisepati",35 Lakh Per Aana,Sale,17.5 Aana,12 Feet,F 17 Feet,2025 August 11,293,Lalitpur,25,3.1km,Bhaisepati,Bhaisepati | UBT-EPS Topik Building,2.7km,9.2km,550m,2.5km,800m,200m,1.3km,11km,14km,1.2km
https://lalpurjanepal.com.np/properties/6-aana-land-for-sale-at-sanogaun-7948,lalpurja,Lalitpur,7948,Property Details,Residential,South-West,Gravelled,Yes,"Lalitpur, Sanogaun",43 Lakh Per Aana,Sale,6 Aana,13 Feet,F 32 | L 62 Feet,2025 August 10,105,07,Mahalaxmi,4km,Sanogaun,Sanogaun | Donbosko School,500m,9.6km,500m,1km,700m,500m,1.7km,11km,15km,
