ad_id,Type,Title,location,Price,Land_Size,Road_Type,Road_Size
HB-449254,Land - Commercial Use,commercial land for sale in tokha,"Tokha-3, Kathmandu, Bagmati Pradesh",7000000.0,3.0,Pitched,Above 20 Ft.
HB-DC6CF2,LandIndividual,Land for sale near kmc hospital,"Kmc Hospital, Changunarayan-2, Bhaktapur",6500000.0,3.0,Others,ThirteenToTwentyFeet
HB-72A275,Land - Individual,10 Aana Land On Sale At Shivapuri Colony.,"बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",5300000.0,10.0,Pitched,13 - 20 Ft.
HB-6CE9DF,3.5 Aana,Land on sale,"Godawari Bridge, Gwarko-Lamatar, Mahalaxmi-8, Lalitpur",3000000.0,3.5,111.29 sq. meter,LandIndividual
HB-5E933A,Land - Individual,15 Aana Land On Sale Near Lemon Tree Hotel.,"बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",4500000.0,15.0,Pitched,13 - 20 Ft.
HB-B4FBC4,Non,Kapan Tenzin Chok Ma 6anna Jagga Sell Ma,"F84, Tenzing Chok, Budhanilkantha, Budhanilkantha Municipality, Kathmandu",6000000.0,6.0,13 - 20 Ft.,Land - Commercial Use
HB-3A8E36,LandPlotted,Land For Sale At Chandragiri,"Matatirtha, Chandragiri-6, Kathmandu, Bagmati Pradesh",2500000.0,6.0,Gravel,ThirteenToTwentyFeet
HB-500628,Land - Individual,land for sale bhanimandal lalitpur 10 aana,"DAV Sushil Kedia Vishwa Bharati School, दमकल सुन्दरीघाट मार्ग, Dhobighat, Lalitpur, Lalitpur Metropolitan City, Lalitpur",1050000.0,10.0,Pitched,Above 20 Ft.
HB-6E7D12,LandPlotted,6 aana perfect land on sale near Metro apartment,"Swastik Marg, Kathmandu-14, Kathmandu, Bagmati Pradesh",9000000.0,6.0,"Metro apartment, Balkhu chok, Kuleshwor awash",ThirteenToTwentyFeet
HB-D76F6F,Land - Commercial Use,land for sale jawalakhel lalitpur 6 aana,"Damodar Marga, Ekantakuna, Lalitpur, Lalitpur Metropolitan City, Lalitpur",11000000.0,6.0,Pitched,Above 20 Ft.
HB-3865E4,LandIndividual,Land for Sale at Dhapakhel,"Dhapakhel Hp, Lalitpur-15, Lalitpur",3500000.0,10.0,Pitched,AboveTwentyFeet
