category,title,district,neighborhood,location_raw,total_price,price_per_aana,land_area_aana,build_up_area,floors,facing,road_width_feet,bedrooms,bathrooms,parking_cars,parking_bikes,built_year_ad,house_age,is_under_construction,amenity_count,has_modular_kitchen,has_parquet,has_drainage,has_solar,has_parking,has_garden,is_wide_road,is_commercial_suspect,is_area_estimated,luxury_score
house, House for Sale in land price,Kathmandu,Baneshwor,"Baneshwor, Kathmandu",9000000.0,321428.5714285714,28.0,23478.35,3.5,West,20.0,,,3.0,5.0,2015.0,11.0,False,11,0,1,1,0,1,1,False,True,True,4
house,"House for sale in Bhangal, Budanilakantha ",Kathmandu,Bhangal,"Bhangal , Kathmandu",40000000.0,8000000.0,5.0,26909.75,2.5,East,20.0,5.0,4.0,0.0,0.0,2018.0,8.0,False,6,0,0,1,0,1,0,False,True,False,2
house,"Residential house on sale at Phutung, Tarakeshwor",Kathmandu,Phutung,"Phutung, Kathmandu",29900000.000000004,7475000.000000001,4.0,24756.97,2.5,South,20.0,4.0,4.0,0.0,0.0,2015.0,11.0,False,6,0,0,1,0,0,1,False,True,False,2
house,"House for sale at Setipakha, Lalitpur",Lalitpur,Setipakha,"Setipakha, Lalitpur",26500000.0,6625000.0,4.0,23680.58,3.0,West,13.0,8.0,8.0,0.0,0.0,2013.0,13.0,False,11,1,1,0,0,0,1,False,True,False,3
house,"Attractive house on sale in Imadol, Lalitpur",Lalitpur,Imadol,"Imadol, Lalitpur",28000000.0,843881.8565400844,33.18,2500.0,2.5,South,13.0,6.0,4.0,0.0,0.0,2015.0,11.0,False,4,0,0,1,0,1,0,False,True,False,2
house,"Beautiful house on sale at Padma Colony, Sitapaila ",Kathmandu,Sitapaila,"Sitapaila, Kathmandu",22500000.0,7258064.516129032,3.1,130680.0,2.5,North,18.0,4.0,3.0,0.0,0.0,2021.0,5.0,False,8,0,1,1,0,1,1,False,True,False,4
house,"House on sale at Ghumti Marg, Bhimsengola, Old Baneshwor, Kathmandu",Kathmandu,Baneshwor,"Baneshwor, Kathmandu",38000000.0,12666666.666666666,3.0,34875.04,3.5,South West,20.0,6.0,4.0,0.0,0.0,2015.0,11.0,False,8,0,0,1,0,1,0,False,True,False,2
house,"Premium Villas on Sale at CG Hills Premium, Bhaisepati ",Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",58600000.0,14292682.92682927,4.1,28735.63,3.0,West,20.0,4.0,5.0,0.0,0.0,2019.0,7.0,False,7,1,0,0,0,1,0,False,True,False,2
house,"Beautiful house on sale at Raniban, Nagrajun (Kathmandu Metropolitan -16)",Kathmandu,Raniban,"Raniban, Kathmandu",36000000.0,12000000.0,3.0,10763.9,2.5,East,20.0,6.0,5.0,0.0,0.0,2001.0,25.0,False,4,0,0,1,0,1,0,False,True,False,2
house,"House on sale at Dhanus Galli, Maharajgunj",Kathmandu,Maharajgunj,"Maharajgunj, Kathmandu",24000000.0,6000000.0,4.0,14735.78,2.0,East,14.0,4.0,2.0,0.0,0.0,1995.0,31.0,False,5,0,0,1,0,1,0,False,True,False,2
house,"Residential house on sale at Bibek Chowk, Kapan",Kathmandu,Kapan,"Kapan, Kathmandu",31000000.0,7750000.0,4.0,1026750.0,3.5,North,12.0,8.0,3.0,0.0,0.0,2001.0,25.0,False,5,0,0,1,0,1,1,False,True,False,3
house,Business Complex for sale at Gongabu,Kathmandu,Gongabu,"Gongabu, Kathmandu",60000000.0,15000000.0,4.0,42000.0,4.0,West,20.0,6.0,5.0,0.0,0.0,2016.0,10.0,False,4,0,0,1,0,1,0,False,True,False,2
house,"Land on sale at Sinamangal, Kathmandu",Kathmandu,Sinamangal,"Sinamangal, Kathmandu",5300000.0,83781.22036041733,63.26,,,East,11.0,,,0.0,0.0,2005.0,21.0,False,0,0,0,0,0,0,0,False,True,True,0
house,"Beautiful house on sale at Sheetal Height, Imadol",Lalitpur,Imadol,"Imadol, Lalitpur",21000000.0,880503.144654088,23.85,14284.66,2.5,North,13.0,4.0,4.0,0.0,0.0,2008.0,18.0,False,4,0,0,0,0,1,0,False,True,True,1
house,"House for sale at Bhaisepati, Lalitpur",Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",55000000.0,13095238.095238095,4.2,610912.83,2.0,South,13.5,3.0,4.0,0.0,0.0,2013.0,13.0,False,4,0,0,1,0,1,0,False,True,False,2
house,"Residential house on sale in Rai Chowk, Nagarjun",Kathmandu,Rai Chowk,"Rai Chowk, Kathmandu",30000000.0,904159.1320072332,33.18,23847.3,3.0,South,13.0,6.0,3.0,0.0,0.0,2012.0,14.0,False,7,0,0,1,0,1,0,False,True,True,2
house,Residential bungalow for sale in Bishalnagar,Kathmandu,Bishalnagar,"Bishalnagar, Kathmandu",130000000.0,1253616.200578592,103.7,62109.82,2.5,South West,14.0,4.0,4.0,0.0,0.0,2001.0,25.0,False,4,0,0,1,0,1,0,False,True,True,2
house,"Commercial building for sale at Chamati, Banasthali",Kathmandu,Chamati,"Chamati, Kathmandu",140000000.0,15555555.555555556,9.0,13202.34,6.0,West,26.0,15.0,8.0,0.0,0.0,2015.0,11.0,False,4,0,0,1,0,1,0,False,True,False,2
