Price,Location,Road_Access,Facing_Direction,Land_AREA
Rs. 22 Lac/aana,"Duwakot, Bhaktapur",20 Feet /Soil Stabilized,West,3.1 aana
Rs. 38 Lac/aana,"Sitapakha, Lalitpur",13 Feet /Dhalan,West,
Rs. 40 Lac/aana,"Changathali, Lalitpur",20 Feet /Dhalan,South,
Rs. 35 Lac/aana,"Gothatar, Kathmandu",13 Feet /Dhalan,North,3.3 aana
Rs. 45 Lac/aana,"Shital Height, Lalitpur",20 Feet /Dhalan,North-East,
Rs. 35 Lac/aana,"Changathali, Lalitpur",13 Feet /Dhalan,West,
Rs. 80 Lac/aana,"Chakupat, Lalitpur",26 Feet /Black Topped,East,8.2 aana
Rs. 40 Lac/aana,"Harisiddhi, Lalitpur",20 Feet /Dhalan,West,
Rs. 29 Lac/aana,"Chandragiri, Kathmandu",15 Feet /Soil Stabilized,North,
Rs. 45 Lac/aana,"Kusunti, Lalitpur",13 Feet /Dhalan,West,3.2 aana
Rs. 45 Lac/aana,"Dholahiti, Lalitpur",26 Feet /Dhalan,South-West,
Rs. 50 Lac/aana,"Bhairabnath Mandir, Bhaktapur",26 Feet /Dhalan,,
Rs. 52 Lac/aana,"Rudreshwor, Kathmandu",13 Feet /Black Topped,West,
Rs. 43 Lac/aana,"Dudhpati, Bhaktapur",20 Feet /Dhalan,South,5.1 aana
Rs. 25 Lac/aana,"Taukhel, Lalitpur",16 Feet /Black Topped,South-East,
Rs. 25 Lac/aana,"Chhaling, Bhaktapur",26 Feet /Dhalan,East,
Rs. 39 Lac/aana,"Bhandari Marg, Lalitpur",13 Feet /Soil Stabilized,East,
Rs. 38 Lac/aana,"Suncity, Kathmandu",13 Feet /Dhalan,South-East,3.1 aana
Rs. 43 Lac/aana,"Gothatar, Kathmandu",13 Feet /Dhalan,West,3.1 aana
Rs. 45 Lac/aana,"Gothatar, Kathmandu",13 Feet /Dhalan,East,
Rs. 48 Lac/aana,"Gothatar, Kathmandu",20 Feet /Dhalan,North,3.1 aana
Rs. 36 Lac/aana,"Katunje, Bhaktapur",16 Feet /Dhalan,West,3.1 aana
Rs. 34 Lac/aana,"Katunje, Bhaktapur",20 Feet /Dhalan,North,4.2 aana
Rs. 34 Lac/aana,"Harsha chowk, Bhaktapur",13 Feet /Dhalan,South,
Rs. 33 Lac/aana,"Katunje, Bhaktapur",13 Feet /Dhalan,South,
Rs. 38 Lac/aana,"Balkot, Bhaktapur",15 Feet /Dhalan,West,
Rs. 40 Lac/aana,"Balkot, Bhaktapur",13 Feet /Dhalan,East,
Rs. 45 Lac/aana,"Balkot, Bhaktapur",16 Feet /Dhalan,South,
Rs. 42 Lac/aana,"Balkot, Bhaktapur",10 Feet /Dhalan,East,4.1 aana
Rs. 25.5 Lac/aana,"Dadhikot, Bhaktapur",16 Feet /Dhalan,South-West,
Rs. 30 Lac/aana,"Dadhikot, Bhaktapur",16 Feet /Dhalan,East,
Rs. 30 Lac/aana,"Dadhikot, Bhaktapur",16 Feet /Dhalan,South-East,
Rs. 27 Lac/aana,"Sirutar, Bhaktapur",20 Feet /Dhalan,South,4.1 aana
Rs. 36 Lac/aana,"Katunje, Bhaktapur",16 Feet /Dhalan,West,3.1 aana
Rs. 27 Lac/aana,"Dadhikot, Bhaktapur",13 Feet /Dhalan,North,
Rs. 1.45 Cr,"Balkot, Bhaktapur",13 Feet /Dhalan,East,
Rs. 37 Lac/aana,"Balkot, Bhaktapur",13 Feet /Dhalan,South-West,
Rs. 42 Lac/aana,"Balkot, Bhaktapur",13 Feet /Dhalan,North-East,3.1 aana
Rs. 21.5 Lac/aana,"Badikhel, Lalitpur",16 Feet /Dhalan,South-West,5.2 aana
Rs. 40 Lac/aana,"Harisiddhi, Lalitpur",14 Feet /Dhalan,South-West,
Rs. 22 Lac/aana,"Badikhel, Lalitpur",16 Feet /Dhalan,West,4.2 aana
Rs. 19 Lac/aana,"Tathali, Bhaktapur",13 Feet /Soil Stabilized,South,3.2 aana
Rs. 58 Lac/aana,"Banasthali, Kathmandu",16 Feet /Dhalan,West,
Rs. 29 Lac/aana,"Thankot, Kathmandu",20 Feet /Dhalan,South-East,
Rs. 22 Lac/aana,"Sudal, Bhaktapur",20 Feet /Soil Stabilized,South-East,
Rs. 60 Lac/aana,"Bhatkeko Pool, Kathmandu",13 Feet /Dhalan,South-West,
Rs. 56 Lac/aana,"Kapan, Kathmandu",13 Feet /Gravelled,West,
Rs. 47 Lac/aana,"Balkot, Bhaktapur",20 Feet /Dhalan,North-West,4.1 aana
Rs. 48 Lac/aana,"Balkot, Bhaktapur",,West,4.2 aana
Rs. 40 Lac/aana,"Balkot, Bhaktapur",13 Feet /Dhalan,West,3.1 aana
Rs. 1.05 Cr,"Dadhikot, Bhaktapur",13 Feet /Dhalan,East,
Rs. 38 Lac/aana,"Dadhikot, Bhaktapur",16 Feet /Dhalan,South-East,4.2 aana
Rs. 40 Lac/aana,"Balkot, Bhaktapur",20 Feet /Paved,South-East,4.2 aana
Rs. 37 Lac/aana,"Sirutar, Bhaktapur",13 Feet /Paved,East,4.2 aana
Rs. 55 Lac/aana,"Pepsicola, Kathmandu",13 Feet /Soil Stabilized,South,4.2 aana
Rs. 52 Lac/aana,"Pepsicola, Kathmandu",16 Feet /Paved,South-East,5.2 aana
Rs. 58 Lac/aana,"Pepsicola, Kathmandu",13 Feet /Paved,East,4.2 aana
Rs. 50 Lac/aana,"Imadol, Lalitpur",13 Feet /Soil Stabilized,West,3.2 aana
Rs. 35 Lac/aana,"Budhanilkantha, Kathmandu",20 Feet /Black Topped,South-East,
Rs. 40 Lac/aana,"Gothatar, Kathmandu",20 Feet /Paved,West,4.3 aana
Rs. 40 Lac/aana,"Gothatar, Kathmandu",20 Feet /Soil Stabilized,West,
Rs. 28 Lac/aana,"Bhimdhunga, Kathmandu",13 Feet /Dhalan,North-East,
Rs. 80 Lac/aana,"Tahachal, Kathmandu",,North-West,
Rs. 35 Lac/aana,"Sirutar, Bhaktapur",13 Feet /Paved,South-East,
Rs. 55 Lac/aana,"Kamerotar, Bhaktapur",20 Feet /Soil Stabilized,East,
Rs. 45 Lac/aana,"Balkot, Bhaktapur",22 Feet /Paved,North-East,
Rs. 20 Lac/aana,"Sipadol, Bhaktapur",10 Feet /Dhalan,,
Rs. 25 Lac/aana,"Sirutar, Bhaktapur",16 Feet /Soil Stabilized,West,4.2 aana
Rs. 52 Lac/aana,"Sitapaila, Kathmandu",13 Feet /Dhalan,South-East,
Rs. 28 Lac/aana,"Lamatar, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 22 Lac/aana,"Sudal, Bhaktapur",20 Feet /Soil Stabilized,West,
Rs. 52 Lac/aana,"Mantar, Kathmandu",20 Feet /Paved,West,3.3 aana
Rs. 70 Lac/aana,"Maharajgunj, Kathmandu",13 Feet /Black Topped,East,
Rs. 47 Lac/aana,"Gothatar, Kathmandu",13 Feet /Soil Stabilized,East,
Rs. 22 Lac/aana,"Sudal, Bhaktapur",20 Feet /Soil Stabilized,,
Rs. 45 Lac/aana,"Naikap, Kathmandu",13 Feet /Soil Stabilized,East,
Rs. 46 Lac/aana,"Imadol, Lalitpur",20 Feet /Soil Stabilized,North,3.1 aana
Rs. 58 Lac/aana,"Bafal, Kathmandu",13 Feet /Alley,North-West,
Rs. 48 Lac/aana,"Sitapaila, Kathmandu",13 Feet /Dhalan,South-East,6.2 aana
Rs. 35 Lac/aana,"Shital Height, Lalitpur",13 Feet /Gravelled,West,3.2 aana
Rs. 65 Lac/aana,"Dibyeshwori Townplanning, Bhaktapur",20 Feet /Paved,East,3.2 aana
Rs. 47 Lac/aana,"Gothatar, Kathmandu",13 Feet /Soil Stabilized,West,4.1 aana
Rs. 48 Lac/aana,"Imadol, Lalitpur",20 Feet /Soil Stabilized,North,3.2 aana
Rs. 35 Lac/aana,"Hattigauda, Kathmandu",13 Feet /Black Topped,South,
Rs. 60 Lac/aana,"Tikathali, Lalitpur",24 Feet /Paved,West,
Rs. 38 Lac/aana,"Bhandari Marg, Lalitpur",13 Feet /Paved,South-East,5.2 aana
Rs. 45 Lac/aana,"Gothatar, Kathmandu",13 Feet /Paved,North-East,
Rs. 28 Lac/aana,"Lubhu, Lalitpur",13 Feet /Gravelled,West,4.2 aana
Rs. 53 Lac/aana,"Ochu Height, Lalitpur",13 Feet /Dhalan,South-East,
Rs. 28 Lac/aana,"Sitapaila, Kathmandu",13 Feet /Soil Stabilized,West,
Rs. 35 Lac/aana,"Sipadol, Bhaktapur",20 Feet /Black Topped,East,4.0.9 aana
Price on call,"Sipadol, Bhaktapur",20 Feet /Black Topped,South-East,6.3 aana
Rs. 30 Lac/aana,"Balambu, Kathmandu",26 Feet /Soil Stabilized,East,
Rs. 16 Lac/aana,"Syuchatar, Kathmandu",4 Feet /Soil Stabilized,South,
Rs. 28 Lac/aana,"Ramkot, Kathmandu",14 Feet /Soil Stabilized,South,
Rs. 55 Lac/aana,"Ranibari, Kathmandu",,North-East,
Rs. 60 Lac/aana,"Pepsicola, Kathmandu",20 Feet /Black Topped,South,2.2 aana
Rs. 70 Lac/aana,"Pepsicola, Kathmandu",20 Feet /Black Topped,South,3.2 aana
Rs. 58 Lac/aana,"Pepsicola, Kathmandu",13 Feet /Black Topped,West,
Rs. 6.6 Cr,"Bafal, Kathmandu",13 Feet /Soil Stabilized,East,
Rs. 35 Lac/aana,"Bishnumati Bridge, Kathmandu",,South-East,
Rs. 25 Lac/aana,"Sudal, Bhaktapur",26 Feet /Dhalan,South,5.3 aana
Rs. 35 Lac/aana,"Suryabinayak, Bhaktapur",19 Feet /Dhalan,North-West,3.2 aana
Rs. 52 Lac/aana,"Bhaisepati, Lalitpur",26 Feet /Soil Stabilized,North,3.2 aana
Rs. 43 Lac,"Godawari, Lalitpur",,West,
Rs. 25 Cr,", Rupandehi",24 Feet /Black Topped,South-East,
Rs. 38 Lac/aana,"Shital Height, Lalitpur",13 Feet /Gravelled,North-East,
Rs. 27 Lac/aana,"Dadhikot, Bhaktapur",13 Feet /Dhalan,North,
Rs. 46 Lac/aana,"Bhaisepati, Lalitpur",20 Feet /Gravelled,North-East,
Rs. 48 Lac/aana,"Bhaisepati, Lalitpur",18 Feet /Gravelled,West,
Rs. 48 Lac/aana,"Bhaisepati, Lalitpur",18 Feet /Gravelled,East,
Rs. 38 Lac/aana,"Harisiddhi, Lalitpur",20 Feet /Soil Stabilized,South-East,4.1 aana
Rs. 20 Lac/aana,"Changunarayan, Bhaktapur",10 Feet /Soil Stabilized,West,3.1 aana
Rs. 44 Lac/aana,"Shital Height, Lalitpur",13 Feet /Soil Stabilized,South-West,
Rs. 35 Lac/aana,"Lubhu, Lalitpur",13 Feet /Gravelled,North-West,7.2 aana
Rs. 30 Lac/aana,"Lubhu, Lalitpur",10 Feet /Gravelled,South,4.2 aana
Rs. 52 Lac/aana,"Shital Height, Lalitpur",13 Feet /Paved,East,
Rs. 47 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Soil Stabilized,North-East,
Rs. 22 Lac/aana,"Duwakot, Bhaktapur",20 Feet /Soil Stabilized,West,
Rs. 37 Lac/aana,"Lubhu, Lalitpur",10 Feet /Paved,North-East,4.1 aana
Rs. 48 Lac/aana,"Bhangal , Kathmandu",13 Feet /Black Topped,East,5.1 aana
Rs. 39 Lac/aana,"Imadol, Lalitpur",20 Feet /Black Topped,North,5.2 aana
Rs. 35 Lac/aana,"Lubhu, Lalitpur",13 Feet /Soil Stabilized,East,3.1 aana
Rs. 36 Lac/aana,"Lubhu, Lalitpur",13 Feet /Paved,North-East,
Rs. 52 Lac/aana,"Shital Height, Lalitpur",13 Feet /Gravelled,West,
Rs. 53 Lac/aana,"Kamerotar, Bhaktapur",20 Feet /Black Topped,North-East,5.2 aana
Rs. 46 Lac/aana,"Tikathali, Lalitpur",13 Feet /Soil Stabilized,South-East,3.1 aana
Rs. 65 Lac/aana,"Bhaisepati, Lalitpur",26 Feet /Gravelled,South-East,
Rs. 45 Lac/aana,"Bhaisepati, Lalitpur",22 Feet /Dhalan,South,
Rs. 55 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Black Topped,South-West,
Rs. 53 Lac/aana,"Kamerotar, Bhaktapur",20 Feet /Black Topped,West,4.1 aana
Rs. 57 Lac/aana,"Kamerotar, Bhaktapur",20 Feet /Black Topped,East,
Rs. 48 Lac/aana,"Shital Height, Lalitpur",13 Feet /Soil Stabilized,East,
Rs. 58 Lac/aana,"Bhaisepati, Lalitpur",20 Feet /Dhalan,South,
