iter	RMSE
0	0.5136938132
1	0.50110191
2	0.4888731101
3	0.4788307773
4	0.4687334703
5	0.4595160915
6	0.4510179525
7	0.4415710103
8	0.4334585022
9	0.4256126187
10	0.4186571277
11	0.4116381084
12	0.4051628039
13	0.3991045873
14	0.3936403753
15	0.387809992
16	0.3824863258
17	0.3768942189
18	0.372718115
19	0.3683621246
20	0.3641319634
21	0.359808412
22	0.3562163639
23	0.3520498999
24	0.3483205645
25	0.3448967927
26	0.3412107601
27	0.3376254449
28	0.3346264686
29	0.3319240419
30	0.3294951439
31	0.3269969083
32	0.3245859919
33	0.3225277618
34	0.3204452848
35	0.3180799984
36	0.3162748241
37	0.31437297
38	0.3120708887
39	0.3099209775
40	0.3076811972
41	0.3053302357
42	0.3042068046
43	0.3025023656
44	0.3010758944
45	0.3000117918
46	0.2984649136
47	0.2965518234
48	0.2951951335
49	0.2934633928
50	0.2923522513
51	0.2912787768
52	0.2903523489
53	0.2893080573
54	0.2882246272
55	0.2868431385
56	0.2852804792
57	0.2840407863
58	0.2834195658
59	0.2825198038
60	0.280946113
61	0.2796370491
62	0.2784596967
63	0.2776129714
64	0.2770118924
65	0.2754031519
66	0.2747321343
67	0.2735117317
68	0.2724995079
69	0.2714238035
70	0.270801562
71	0.2697368441
72	0.2688277949
73	0.2678631547
74	0.2670645602
75	0.2662856514
76	0.2648282666
77	0.2636256998
78	0.2632281152
79	0.2624957591
80	0.2618644746
81	0.2604228369
82	0.2596050476
83	0.2590888646
84	0.2585969931
85	0.2576923026
86	0.2569071667
87	0.2561529418
88	0.255537965
89	0.2545731372
90	0.253682473
91	0.253001124
92	0.2525251031
93	0.2517834466
94	0.2512181442
95	0.2506744416
96	0.2502684223
97	0.249722028
98	0.2492220122
99	0.2482057897
100	0.247033626
101	0.2466727115
102	0.2463271987
103	0.2455211705
104	0.245067795
105	0.244616967
106	0.2438900628
107	0.243529879
108	0.2426346441
109	0.2421412078
110	0.2414600328
111	0.240986905
112	0.2401470093
113	0.2397202965
114	0.2389120208
115	0.2388327333
116	0.23830224
117	0.2379669415
118	0.2375100818
119	0.2365487395
120	0.236198497
121	0.2358829869
122	0.2355920936
123	0.2350226708
124	0.2346387344
125	0.2342733365
126	0.2337219711
127	0.2334383823
128	0.2327914276
129	0.2322891071
130	0.231828582
131	0.2314617152
132	0.2308732643
133	0.2303015199
134	0.2297936914
135	0.2293330847
136	0.2290348894
137	0.2286704021
138	0.2282779657
139	0.2277041101
140	0.2273585682
141	0.2267999758
142	0.2263658928
143	0.2261073682
144	0.2255902242
145	0.2252797559
146	0.2248241845
147	0.2242865709
148	0.2239204049
149	0.2237144747
150	0.2231073567
151	0.2228302604
152	0.2226472684
153	0.2222070465
154	0.2218682292
155	0.2213221608
156	0.2208386554
157	0.220516313
158	0.2199930381
159	0.219579724
160	0.2191867952
161	0.2189925179
162	0.2189414635
163	0.2186281351
164	0.2182740561
165	0.2182444191
166	0.2177906176
167	0.2174910605
168	0.2169930897
169	0.2164331437
170	0.21628077
171	0.2162521162
172	0.2159035206
173	0.2154412749
174	0.2152696012
175	0.2149463233
176	0.2146611268
177	0.2144357767
178	0.2142936452
179	0.2135610715
180	0.2133420397
181	0.2131768808
182	0.2127586042
183	0.2122111374
184	0.2117184281
185	0.211450843
186	0.2113175982
187	0.2112539743
188	0.2112208136
189	0.2109229042
190	0.2106125492
191	0.2103786344
192	0.2103030949
193	0.2098914168
194	0.2095200981
195	0.2093954253
196	0.2092022587
197	0.2088433946
198	0.2085548523
199	0.2084724979
200	0.2082920619
201	0.2079206475
202	0.2078451414
203	0.2077682572
204	0.2075072692
205	0.2073004606
206	0.206973997
207	0.2067222775
208	0.2062948925
209	0.206202473
210	0.2061578214
211	0.2060959158
212	0.2060289846
213	0.2056330942
214	0.2053527976
215	0.2050577751
216	0.2048263601
217	0.2044882293
218	0.2043082344
219	0.2038706184
220	0.2037097003
221	0.2033876455
222	0.2031090238
223	0.2030338976
224	0.2029746
225	0.202566606
226	0.202157822
227	0.2018402794
228	0.2017974252
229	0.2017402031
230	0.2014484565
231	0.2014103782
232	0.2011273834
233	0.2008979381
234	0.2004832623
235	0.2000641971
236	0.199622751
237	0.1992170832
238	0.1990508575
239	0.1988605286
240	0.1988179654
241	0.1986634173
242	0.1986228961
243	0.1984167407
244	0.1980654192
245	0.1977280076
246	0.1970878389
247	0.1967559448
248	0.1965659013
249	0.1962987824
250	0.1962487899
251	0.1958865211
252	0.1957317365
253	0.1954835319
254	0.1951743698
255	0.1951414753
256	0.1951107555
257	0.1948782114
258	0.1945695525
259	0.1940610402
260	0.1935460675
261	0.1933860478
262	0.1933605223
263	0.1930780569
264	0.1927377465
265	0.1927178142
266	0.1926859148
267	0.1926597228
268	0.1923709605
269	0.1917860986
270	0.1913192816
271	0.1910158948
272	0.1908819389
273	0.1906217723
274	0.1904534974
275	0.1902270184
276	0.189652865
277	0.1893219796
278	0.1888643498
279	0.1886051593
280	0.1884058489
281	0.1882401031
282	0.1880362804
283	0.1875436992
284	0.187277565
285	0.1872635754
286	0.1870467056
287	0.1870214631
288	0.1867814011
289	0.1864503726
290	0.1862672887
291	0.1860537129
292	0.1855945267
293	0.1852434044
294	0.1847377364
295	0.1845382738
296	0.1843388657
297	0.1842270916
298	0.1839375002
299	0.1832698972
300	0.1829465539
301	0.1829261932
302	0.1824250314
303	0.1820804808
304	0.181789557
305	0.1814885924
306	0.1812022729
307	0.1808801386
308	0.1807378442
309	0.1802535259
310	0.1798330962
311	0.1796516691
312	0.1796344119
313	0.1794202331
314	0.17923872
315	0.1790500735
316	0.1788217051
317	0.1785512914
318	0.1782893072
319	0.1782688391
320	0.1780217166
321	0.1777783875
322	0.1774774932
323	0.1774616281
324	0.1772926512
325	0.176990128
326	0.1769673054
327	0.1768055067
328	0.1767913961
329	0.1765966304
330	0.1765766659
331	0.1759757647
332	0.1754324171
333	0.1752317642
334	0.1752124453
335	0.1748547688
336	0.1746350901
337	0.1745314526
338	0.1741780297
339	0.1740033792
340	0.1737439658
341	0.1735685422
342	0.1731527478
343	0.1728069262
344	0.172602281
345	0.1722942417
346	0.1720097031
347	0.1716083079
348	0.1715932003
349	0.1712891916
350	0.1711193809
351	0.1708748463
352	0.1708623688
353	0.1706361805
354	0.1706237021
355	0.1704746636
356	0.170358103
357	0.1700296001
358	0.1697005926
359	0.1692961024
360	0.1690904531
361	0.1687556237
362	0.1684888788
363	0.1684732816
364	0.1683085091
365	0.1682914842
366	0.167720419
367	0.1675317137
368	0.1675227855
369	0.1675094252
370	0.1672774048
371	0.1671214566
372	0.1671087898
373	0.1667824924
374	0.1667735371
375	0.166318104
376	0.1659573804
377	0.1659339883
378	0.1655893609
379	0.1655792473
380	0.1652459206
381	0.1650037028
382	0.1649948726
383	0.1645109095
384	0.1643339995
385	0.1641470423
386	0.1637882217
387	0.1636114292
388	0.1635955586
389	0.1635334082
390	0.1635228918
391	0.1635090748
392	0.1633546306
393	0.1631871363
394	0.1630035052
395	0.1628057278
396	0.1627976485
397	0.1625268662
398	0.162375884
399	0.1622323516
400	0.1619609707
401	0.161775987
402	0.1614887019
403	0.1611102616
404	0.1608833373
405	0.1607455811
406	0.1605238734
407	0.1604078952
408	0.160194378
409	0.1600519574
410	0.1598351177
411	0.1598270018
412	0.1598186439
413	0.1595635851
414	0.1595531292
415	0.1595454334
416	0.1592954946
417	0.1590333248
418	0.1588492346
419	0.1586899712
420	0.1584757908
421	0.1583202978
422	0.1581816255
423	0.1578005668
424	0.1575771844
425	0.1575676616
426	0.1574414445
427	0.1574099521
428	0.1571690732
429	0.1568208413
430	0.1566344928
431	0.1562386231
432	0.1562243792
433	0.1558682584
434	0.1557390748
435	0.1554181489
436	0.1552333341
437	0.1551620054
438	0.1549500242
439	0.1546837544
440	0.1546552695
441	0.1545972845
442	0.1544618071
443	0.1542968044
444	0.1541367633
445	0.1539784671
446	0.1538830266
447	0.153767307
448	0.153713449
449	0.1537021935
450	0.1533326434
451	0.1529103615
452	0.1528754192
453	0.1526011969
454	0.1523710391
455	0.1520933974
456	0.1517624728
457	0.151424191
458	0.1513144786
459	0.1511356721
460	0.1508961196
461	0.150749384
462	0.1505056592
463	0.1502848433
464	0.150270286
465	0.1499703235
466	0.149719707
467	0.1495426179
468	0.14922404
469	0.1489977099
470	0.1488312762
471	0.1486424302
472	0.1485981984
473	0.1483674442
474	0.1483057399
475	0.1480350757
476	0.1480273209
477	0.1477651536
478	0.1477596055
479	0.1476250124
480	0.1474139422
481	0.1474078364
482	0.1474028392
483	0.1472668857
484	0.1470723427
485	0.1470672335
486	0.14701346
487	0.1467999197
488	0.146580856
489	0.1464088883
490	0.1462323176
491	0.1459706422
492	0.1457989898
493	0.1456210628
494	0.1454566842
495	0.1451457973
496	0.1450242924
497	0.1449569383
498	0.1449050152
499	0.1445999281
500	0.1443109536
501	0.1440686278
502	0.143726148
503	0.1436255518
504	0.1432950853
505	0.1432181595
506	0.142976549
507	0.1428646174
508	0.1428585935
509	0.1425931089
510	0.1421601205
511	0.1419325199
512	0.1417635843
513	0.1416804558
514	0.1416749389
515	0.1415779153
516	0.1412421751
517	0.1412360842
518	0.1409905614
519	0.1407229927
520	0.1406678921
521	0.1406230402
522	0.1405071931
523	0.1402554598
524	0.1400799938
525	0.13979997
526	0.1395693026
527	0.1395261739
528	0.1392947022
529	0.1390912438
530	0.1389661711
531	0.1387597384
532	0.1385474702
533	0.1383876175
534	0.1383821249
535	0.138222605
536	0.1379407625
537	0.1378031737
538	0.1376803129
539	0.1373255228
540	0.137178669
541	0.1369845669
542	0.1366885362
543	0.13654822
544	0.1363219368
545	0.1361362083
546	0.135954059
547	0.1357581535
548	0.1355610256
549	0.1353263215
550	0.1350799805
551	0.1350747476
552	0.1349101704
553	0.1349063404
554	0.1349021123
555	0.1348586306
556	0.1348334986
557	0.1346224957
558	0.134435319
559	0.1341647069
560	0.1341438263
561	0.134099504
562	0.133848429
563	0.1337781576
564	0.1335935004
565	0.1334636101
566	0.1332222149
567	0.133066074
568	0.1327986998
569	0.1326358861
570	0.1326172697
571	0.1324830685
572	0.1323207159
573	0.1320042176
574	0.1318804133
575	0.1316553177
576	0.1315300473
577	0.1313547709
578	0.13120433
579	0.1310303754
580	0.1309165274
581	0.1308012381
582	0.1304753438
583	0.1303542895
584	0.1301017008
585	0.1299496727
586	0.1297422705
587	0.1297123626
588	0.1296383278
589	0.1293830245
590	0.1293778853
591	0.1291856952
592	0.1289072026
593	0.1287805881
594	0.1285823952
595	0.1284235155
596	0.1284195702
597	0.1282900501
598	0.1282854202
599	0.1281157271
600	0.1281102232
601	0.1281054368
602	0.1279864539
603	0.1277876445
604	0.1276963789
605	0.127691734
606	0.1275455209
607	0.1274401722
608	0.1274353902
609	0.1271707586
610	0.127028307
611	0.1269495341
612	0.1268555653
613	0.1267466644
614	0.1265249762
615	0.1263088349
616	0.1262059334
617	0.1260666959
618	0.1259539005
619	0.1259142811
620	0.1256927359
621	0.1255462735
622	0.1254346143
623	0.1252969355
624	0.1251360865
625	0.1249383773
626	0.1249102083
627	0.1247225235
628	0.1245120946
629	0.1243923125
630	0.1243887925
631	0.1241535205
632	0.1238834731
633	0.1237377341
634	0.1236034578
635	0.1233937128
636	0.1232650344
637	0.1231714668
638	0.1230919651
639	0.123045213
640	0.1229197394
641	0.1228049637
642	0.1227210182
643	0.1225619412
644	0.1225026178
645	0.1223084632
646	0.1221303307
647	0.1219649119
648	0.1218325867
649	0.1216676722
650	0.1216402972
651	0.1215199535
652	0.1215161817
653	0.1215020281
654	0.1212864577
655	0.1212003756
656	0.1209802648
657	0.1209751955
658	0.1207556364
659	0.1207508366
660	0.1206806224
661	0.1205300246
662	0.1203226955
663	0.1201642984
664	0.1201611745
665	0.1200069359
666	0.1198566031
667	0.1196403633
668	0.1194454159
669	0.1193322554
670	0.1191463468
671	0.1190363945
672	0.118954
673	0.1189379597
674	0.1187424924
675	0.1185629567
676	0.1185598162
677	0.1182501386
678	0.1181542954
679	0.118093084
680	0.1179657886
681	0.1177556385
682	0.1176836176
683	0.1176777201
684	0.1176331103
685	0.1176220328
686	0.1174108966
687	0.1171716245
688	0.1171623256
689	0.1170186993
690	0.1168781103
691	0.1167657055
692	0.1166591978
693	0.116620223
694	0.1166155098
695	0.1164707331
696	0.1163885943
697	0.11627373
698	0.116185038
699	0.1160190375
700	0.1158250131
701	0.1157534977
702	0.1155677185
703	0.1153709273
704	0.1153611723
705	0.1150961892
706	0.1150615207
707	0.1150583363
708	0.1150524986
709	0.1150226051
710	0.1148556512
711	0.1148320351
712	0.1148283592
713	0.1147314547
714	0.114727161
715	0.1146182822
716	0.114430388
717	0.1142181566
718	0.1141447129
719	0.1139793121
720	0.1138323959
721	0.1137288266
722	0.1136177607
723	0.1135265045
724	0.1133807336
725	0.1133745587
726	0.1133719117
727	0.1132490916
728	0.1131744292
729	0.1130850546
730	0.1130817565
731	0.1130720945
732	0.1128683901
733	0.1127238043
734	0.1126520578
735	0.1125298022
736	0.1124059923
737	0.112162531
738	0.1121596742
739	0.1119279625
740	0.1119237537
741	0.1117318017
742	0.1116103095
743	0.1114400454
744	0.1113303435
745	0.111155176
746	0.1110889195
747	0.1109855004
748	0.1109068885
749	0.1106821023
750	0.1105601838
751	0.1105544617
752	0.1104669435
753	0.1102997619
754	0.110141778
755	0.1100266047
756	0.1099548165
757	0.1099505303
758	0.1098156026
759	0.1097600225
760	0.1097577128
761	0.1095113106
762	0.1094096911
763	0.1093989676
764	0.1092096254
765	0.1091724345
766	0.1089569301
767	0.1089518911
768	0.108898912
769	0.1087802924
770	0.1086511907
771	0.1086466118
772	0.1084708886
773	0.1084669891
774	0.1084317981
775	0.1084194493
776	0.1082613694
777	0.1082433497
778	0.1080732373
779	0.1080713489
780	0.1079547243
781	0.1077990186
782	0.1076942672
783	0.1075966493
784	0.1074628048
785	0.1073893188
786	0.1072504988
787	0.107113915
788	0.1069334078
789	0.1068517506
790	0.106849895
791	0.1067025432
792	0.1066140384
793	0.1064580122
794	0.1064243904
795	0.1064135733
796	0.1063382281
797	0.1062822623
798	0.1061826942
799	0.1060655495
800	0.1059351795
801	0.1059191078
802	0.1058971538
803	0.1056380604
804	0.1055471467
805	0.1055440573
806	0.1055419873
807	0.1054999534
808	0.1054169009
809	0.1054110188
810	0.1052735602
811	0.1051651638
812	0.1050739327
813	0.1048748959
814	0.1046999781
815	0.1045800711
816	0.1044436523
817	0.1044045199
818	0.1043926944
819	0.1042774931
820	0.1042005419
821	0.1040554748
822	0.1039389246
823	0.1037700883
824	0.1037296216
825	0.1035129129
826	0.1033457298
827	0.1031996279
828	0.1030578062
829	0.1029852466
830	0.1028229614
831	0.1027439377
832	0.1027155184
833	0.1025885708
834	0.1024885772
835	0.1024755366
836	0.1022896962
837	0.1022482651
838	0.1021142378
839	0.102030143
840	0.1019961766
841	0.1019256383
842	0.1018871953
843	0.1017400082
844	0.1016188255
845	0.1014723647
846	0.1014673967
847	0.101391751
848	0.1012224566
849	0.1011315283
850	0.1010253939
851	0.1009969755
852	0.1009715491
853	0.1007509312
854	0.1006848991
855	0.1006708801
856	0.1006630975
857	0.1006012211
858	0.1005817131
859	0.1004436165
860	0.1003356151
861	0.1001837591
862	0.1001664484
863	0.1000317223
864	0.09988513719
865	0.09977211139
866	0.09977049704
867	0.09960297737
868	0.09949761846
869	0.0994032325
870	0.09927658578
871	0.09916974835
872	0.09914601005
873	0.09898403935
874	0.09886309574
875	0.09883752942
876	0.09865953671
877	0.0985331513
878	0.09838823426
879	0.09822854463
880	0.0982096121
881	0.09809295974
882	0.09806110649
883	0.09793110406
884	0.0978774799
885	0.09777427867
886	0.09775402854
887	0.09772418415
888	0.09770552036
889	0.09761876879
890	0.09753912287
891	0.09738013271
892	0.09736064908
893	0.09725345064
894	0.09712853075
895	0.09698593109
896	0.09686249217
897	0.09672046688
898	0.09663861667
899	0.09655089003
900	0.0964857318
901	0.0964006833
902	0.09635648052
903	0.0962308324
904	0.09621204928
905	0.09608246011
906	0.09604193818
907	0.09591904986
908	0.09591125129
909	0.09577822006
910	0.09575222358
911	0.09574283625
912	0.09572346977
913	0.09565683492
914	0.09564389254
915	0.09552929436
916	0.09535890259
917	0.09524995324
918	0.09522717401
919	0.09502894207
920	0.09495002794
921	0.09490854777
922	0.0948776997
923	0.09485392633
924	0.09476346225
925	0.09468404203
926	0.09456781979
927	0.09453830751
928	0.09439328658
929	0.09426241514
930	0.09424335662
931	0.09410380192
932	0.09399881779
933	0.09397656667
934	0.09392070564
935	0.09382975276
936	0.09376922015
937	0.0937509633
938	0.09373033011
939	0.09372627787
940	0.093717413
941	0.09371133198
942	0.09370662032
943	0.09360176103
944	0.0934637586
945	0.09337932047
946	0.09322686673
947	0.09310707939
948	0.09310446919
949	0.09300421898
950	0.09292828963
951	0.09290164082
952	0.09277409147
953	0.09274928157
954	0.09266405194
955	0.09257429304
956	0.0925069891
957	0.09244605064
958	0.09234196212
959	0.09230176902
960	0.09227368711
961	0.0922513929
962	0.09217951714
963	0.09206074976
964	0.09199296516
965	0.09197284341
966	0.09185681212
967	0.0918555383
968	0.09175310209
969	0.09169461618
970	0.09167026955
971	0.09160251385
972	0.09159713534
973	0.09154110825
974	0.09147038149
975	0.09127965995
976	0.09117544219
977	0.09104974766
978	0.09089145505
979	0.09087263767
980	0.09085905706
981	0.09076976298
982	0.09076269555
983	0.09067017223
984	0.09051658127
985	0.09051334332
986	0.0904215137
987	0.09028662259
988	0.09021369744
989	0.09018349358
990	0.09017273158
991	0.09016386479
992	0.09014064277
993	0.09012177961
994	0.09011135093
995	0.09002361911
996	0.0899440834
997	0.08992291234
998	0.08978287138
999	0.08963656355
