district,property_type,property_face,road_type,furnishing,municipality,ward_no,neighborhood,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors,total_price,land_size_aana,built_up_sqft,house_age,road_width_feet,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,college_m,public_transport_m,police_station_m,boudhanath_m,ring_road_m
Kathmandu,Residential,East,High Access,Full Furnished,Tokha,7,Dhapasi,5.0,1.0,5.0,1.0,5.0,2.5,75500000.0,8.0,1711.25,3.0,13.0,500.0,6000.0,100.0,300.0,100.0,270.0,50.0,500.0,5000.0,2000.0
Kathmandu,Residential,South-West,High Access,Unfurnished,Kageshwori Manohara,7,Mulpani,7.0,3.0,4.0,3.0,5.0,3.5,23500000.0,3.0,2538.0,4.0,13.0,2500.0,7000.0,400.0,4000.0,500.0,2000.0,100.0,600.0,5000.0,5000.0
Kathmandu,Residential,South-East,Low Access,Semi Furnished,Budhanilkantha,11,Kapan,6.0,2.0,5.0,2.0,1.0,2.5,37500000.0,4.0,2665.0,0.0,14.0,1000.0,7000.0,150.0,1230.0,90.0,440.0,250.0,520.0,6500.0,3500.0
Kathmandu,Residential,North,Low Access,Semi Furnished,Budhanilkantha,10,Sukedhara,6.0,2.0,5.0,2.0,2.0,2.5,42500000.0,5.48,3000.0,0.0,12.0,640.0,5000.0,80.0,1250.0,120.0,230.0,80.0,250.0,4500.0,500.0
Kathmandu,Residential,West,High Access,Unfurnished,Kathmandu,14,Kuleshwor,7.0,3.0,5.0,3.0,3.0,3.0,80000000.0,8.5,1369.0,2.0,16.0,1000.0,9700.0,90.0,1230.0,100.0,100.0,400.0,500.0,10000.0,400.0
Kathmandu,Residential,East,High Access,Unfurnished,Nagarjun,6,Sitapaila,5.0,2.0,4.0,2.0,1.0,3.0,28000000.0,3.0,2200.0,6.5,13.0,500.0,11000.0,220.0,2000.0,250.0,240.0,100.0,460.0,13000.0,700.0
Kathmandu,Residential,East,Low Access,Semi Furnished,Nagarjun,3,Sitapaila,6.0,2.0,4.0,2.0,1.0,2.5,25000000.0,3.5,2500.0,0.0,13.0,2000.0,11000.0,660.0,3000.0,550.0,1170.0,200.0,830.0,13000.0,2500.0
Kathmandu,Commercial,East,High Access,Semi Furnished,Nagarjun,4,Kalanki,5.0,2.0,4.0,2.0,1.0,2.5,28000000.0,3.0,2200.0,0.0,13.0,580.0,11000.0,140.0,1000.0,200.0,260.0,200.0,460.0,13000.0,1000.0
Kathmandu,Semi-commercial,North,High Access,Unfurnished,Kathmandu,17,Swayambhu,13.0,2.0,8.0,3.0,2.0,4.0,80000000.0,5.25,1711.25,6.0,13.0,1100.0,8000.0,90.0,1230.0,200.0,1300.0,100.0,530.0,4600.0,2000.0
Kathmandu,Residential,East,High Access,Unfurnished,Kathmandu,14,Kalanki,7.0,2.0,4.0,3.0,3.0,3.5,60000000.0,10.0,1197.87,10.0,13.0,50.0,10000.0,110.0,1400.0,100.0,200.0,100.0,360.0,11000.0,150.0
Kathmandu,Commercial,South-East,High Access,Unfurnished,Kathmandu,14,Kalanki,8.0,1.0,3.0,2.0,2.0,2.5,36000000.0,5.25,1026.75,22.0,6.0,500.0,9500.0,130.0,780.0,100.0,200.0,100.0,360.0,10000.0,100.0
Kathmandu,Commercial,West,Low Access,Unfurnished,Kathmandu,19,Basantapur,6.0,1.0,8.0,1.0,3.0,4.5,60000000.0,3.75,1197.87,22.0,8.0,600.0,8700.0,140.0,480.0,450.0,1500.0,500.0,800.0,7300.0,1500.0
Kathmandu,Residential,East,Low Access,Full Furnished,Budhanilkantha,4,Budhanilkantha,7.0,3.0,5.0,3.0,2.0,3.0,60000000.0,5.25,1540.12,1.0,13.0,300.0,4000.0,200.0,400.0,50.0,200.0,200.0,200.0,4000.0,4000.0
Kathmandu,Commercial,South-West,High Access,Unfurnished,Kathmandu,15,Chamati,4.0,4.0,5.0,4.0,1.0,4.5,48500000.0,3.5,1026.75,10.0,21.0,550.0,7700.0,240.0,1000.0,100.0,180.0,500.0,440.0,10000.0,500.0
Kathmandu,Residential,North-East,Low Access,Unfurnished,Nagarjun,3,Budget_Zone,7.0,1.0,4.0,1.0,3.0,2.5,28000000.0,4.0,1898.0,4.0,12.0,2000.0,10000.0,120.0,2100.0,1000.0,2000.0,1000.0,740.0,12000.0,600.0
Kathmandu,Residential,East,High Access,Semi Furnished,Budhanilkantha,11,Kapan,5.0,2.0,4.0,3.0,2.0,2.5,45500000.0,3.5,5000.0,2.0,13.0,300.0,4000.0,250.0,4000.0,300.0,500.0,250.0,250.0,4000.0,800.0
Kathmandu,Residential,North,High Access,Unfurnished,Kathmandu,13,Bafal,11.0,3.0,5.0,3.0,4.0,3.5,100000000.0,9.0,1711.25,15.0,13.0,900.0,10000.0,188.0,1230.0,500.0,800.0,500.0,560.0,11000.0,100.0
Kathmandu,Residential,North-East,High Access,Unfurnished,Kathmandu,8,Syuchatar,6.0,2.0,4.0,2.0,4.0,2.5,27500000.0,4.0,1095.2,0.0,10.0,1500.0,12000.0,680.0,2240.0,500.0,1500.0,1000.0,760.0,14000.0,2000.0
Kathmandu,Semi-commercial,North-East,High Access,Unfurnished,Gokarneshwor,4,Makalbari,4.0,2.0,3.0,1.0,2.0,2.5,27500000.0,3.5,1283.4,19.0,16.0,1000.0,7000.0,418.0,4000.0,500.0,500.0,500.0,500.0,2000.0,4000.0
Kathmandu,Residential,East,High Access,Semi Furnished,Kathmandu,10,Samakhusi,7.0,2.0,6.0,2.0,4.0,3.5,74500000.0,9.5,2053.5,19.0,14.0,300.0,5000.0,100.0,1000.0,200.0,220.0,50.0,300.0,4000.0,400.0
Kathmandu,Residential,South,High Access,Unfurnished,Kathmandu,16,Machhapokhari,11.0,3.0,4.0,1.0,1.0,3.5,27000000.0,3.5,1026.75,32.0,10.0,100.0,8300.0,110.0,1380.0,100.0,150.0,200.0,230.0,8300.0,200.0
Kathmandu,Residential,South-West,High Access,Semi Furnished,Budhanilkantha,7,Budhanilkantha,2.0,1.0,1.0,1.0,1.0,1.0,17500000.0,3.0,684.5,3.0,13.0,500.0,7000.0,300.0,3000.0,500.0,600.0,300.0,400.0,6000.0,400.0
Kathmandu,Semi-commercial,North,High Access,Unfurnished,Kathmandu,15,Dallu,10.0,1.0,4.0,1.0,1.0,3.5,45000000.0,6.0,1026.75,28.0,14.0,1500.0,8500.0,218.0,1720.0,500.0,500.0,100.0,370.0,10000.0,1500.0
Kathmandu,Commercial,South-West,High Access,Unfurnished,Kathmandu,16,Chettrapati,9.5,3.0,6.0,3.0,10.0,10.0,200000000.0,6.5,2224.62,12.0,21.0,200.0,6500.0,80.0,1600.0,1500.0,3000.0,600.0,980.0,7000.0,2000.0
Kathmandu,Residential,South-East,High Access,Full Furnished,Budhanilkantha,8,Budhanilkantha,8.0,3.0,6.0,3.0,1.0,2.5,35000000.0,4.5,1540.12,22.0,13.0,150.0,6000.0,150.0,200.0,200.0,200.0,170.0,200.0,4000.0,250.0
Kathmandu,Residential,South,High Access,Unfurnished,Chandragiri,13,Outskirt_Zone,14.0,2.0,6.0,2.0,2.0,3.5,21500000.0,5.0,1026.75,2.0,21.0,2000.0,11000.0,608.0,4000.0,1200.0,2500.0,1000.0,1120.0,15000.0,2500.0
Kathmandu,Residential,West,Low Access,Unfurnished,Kathmandu,3,Premium_Zone,11.0,3.0,3.0,3.0,1.0,2.5,27500000.0,3.0,1026.75,9.0,13.0,400.0,8000.0,200.0,530.0,210.0,250.0,400.0,360.0,6500.0,1000.0
Kathmandu,Residential,North-East,Low Access,Semi Furnished,Budhanilkantha,13,Bhangal,6.0,2.0,5.0,2.0,1.0,2.5,34500000.0,4.06,1620.06,0.0,13.0,300.0,8000.0,200.0,930.0,290.0,200.0,100.0,300.0,7500.0,7000.0
Kathmandu,Residential,South-West,High Access,Unfurnished,Kathmandu,5,Naxal,10.0,3.0,8.0,2.0,4.0,3.5,58000000.0,7.75,1200.0,37.0,21.0,2000.0,5000.0,260.0,1000.0,1000.0,1500.0,500.0,610.0,4500.0,2500.0
Kathmandu,Residential,East,High Access,Unfurnished,Kathmandu,13,Tahachal,3.0,1.0,1.0,1.0,2.0,2.5,21000000.0,2.75,941.18,36.0,11.0,700.0,10000.0,248.0,3000.0,900.0,4600.0,100.0,970.0,10000.0,1000.0
Kathmandu,Residential,South-West,High Access,Semi Furnished,Budhanilkantha,13,Budhanilkantha,6.0,2.0,3.0,2.0,1.0,2.5,29500000.0,4.0,1369.0,3.0,13.0,50.0,6000.0,50.0,200.0,250.0,400.0,200.0,300.0,5000.0,350.0
Kathmandu,Residential,East,High Access,Full Furnished,Kathmandu,9,Battisputali,12.0,1.0,4.0,2.0,1.0,3.0,69000000.0,4.75,1369.0,46.0,19.0,2500.0,3000.0,230.0,3000.0,500.0,1500.0,500.0,560.0,3000.0,500.0
Kathmandu,Residential,South,High Access,Unfurnished,Kathmandu,7,Samakhusi,9.0,2.0,5.0,3.0,1.0,2.5,55100000.0,5.0,1369.0,8.0,12.0,500.0,7000.0,100.0,1000.0,50.0,240.4,50.0,500.0,6000.0,500.0
Kathmandu,Residential,West,High Access,Full Furnished,Nagarjun,10,Syuchatar,11.0,1.0,4.0,1.0,2.0,3.5,35000000.0,4.5,1026.75,18.0,13.0,1500.0,13000.0,480.0,3000.0,250.0,2000.0,1500.0,830.0,14000.0,1500.0
Kathmandu,Residential,South,High Access,Full Furnished,Kathmandu,13,Tahachal,4.0,1.0,5.0,1.0,3.0,3.5,50000000.0,4.5,1540.12,19.0,10.0,200.0,10000.0,220.0,5000.0,300.0,700.0,1000.0,420.0,10000.0,1000.0
Kathmandu,Residential,North-East,Low Access,Full Furnished,Budhanilkantha,1,Budhanilkantha,6.0,2.0,6.0,2.0,2.0,2.5,107500000.0,9.5,1711.25,3.0,13.0,2000.0,10000.0,200.0,5000.0,200.0,200.0,200.0,200.0,8000.0,4000.0
Kathmandu,Commercial,North,High Access,Unfurnished,Kathmandu,22,New Road,9.0,5.0,4.0,2.0,1.0,4.5,35000000.0,1.0,342.25,10.0,12.0,1000.0,6000.0,210.0,3500.0,500.0,400.0,600.0,250.0,6500.0,600.0
Kathmandu,Residential,South,High Access,Unfurnished,Kathmandu,4,Dhumbarahi,6.0,3.0,3.0,1.0,1.0,2.5,29000000.0,3.5,1026.75,34.0,11.0,1000.0,2000.0,90.0,1230.0,100.0,240.0,100.0,310.0,2000.0,1450.0
Kathmandu,Residential,South-West,High Access,Unfurnished,Kathmandu,6,Guheshwori,4.0,1.0,4.0,2.0,1.0,2.5,30000000.0,4.0,1026.75,14.0,12.0,1000.0,3000.0,90.0,1230.0,100.0,420.0,100.0,370.0,1000.0,1150.0
Kathmandu,Commercial,North-East,High Access,Unfurnished,Kathmandu,6,Mahankal,9.0,2.0,3.0,2.0,1.0,4.0,33000000.0,3.5,1026.75,12.0,15.0,1000.0,3000.0,90.0,1230.0,100.0,420.0,100.0,370.0,1000.0,1150.0
