category,location_raw,district,neighborhood,road_type,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot,road_width_feet,is_wide_road,facing,source,price_segment
land,"Tokha-3, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,High Access,3.0,7000000.0,21000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"Kmc Hospital, Changunarayan-2, Bhaktapur",Bhaktapur,Changunarayan,Unknown,3.0,6500000.0,19500000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",Kathmandu,बूढानीलकण्ठ,Mid Access,10.0,5300000.0,53000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Godawari Bridge, Gwarko-Lamatar, Mahalaxmi-8, Lalitpur",Lalitpur,Godawari,Unknown,3.5,3000000.0,10500000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",Kathmandu,बूढानीलकण्ठ,Mid Access,15.0,4500000.0,67500000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"F84, Tenzing Chok, Budhanilkantha, Budhanilkantha Municipality, Kathmandu",Kathmandu,Budhanilkantha,Mid Access,6.0,6000000.0,36000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Matatirtha, Chandragiri-6, Kathmandu, Bagmati Pradesh",Kathmandu,Budget_Zone,Low Access,6.0,2500000.0,15000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"DAV Sushil Kedia Vishwa Bharati School, दमकल सुन्दरीघाट मार्ग, Dhobighat, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Outskirt_Zone,High Access,10.0,1050000.0,10500000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Swastik Marg, Kathmandu-14, Kathmandu, Bagmati Pradesh",Kathmandu,High_Zone,Unknown,6.0,9000000.0,54000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"Damodar Marga, Ekantakuna, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Ekantakuna,High Access,6.0,11000000.0,66000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"Dhapakhel Hp, Lalitpur-15, Lalitpur",Lalitpur,Dhapakhel,High Access,10.0,3500000.0,35000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Jalbinayak Colony, Kirtipur-6, Kathmandu",Kathmandu,Budget_Zone,Unknown,3.0,3200000.0,9600000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Pasikot, Budhanilakantha-4, Kathmandu",Kathmandu,Pasikot,High Access,4.5,4400000.0,19800000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Upendra Marg, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,High_Zone,Low Access,17.0,6500000.0,110500000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Baluwatar-4, Kathmandu-4, Kathmandu",Kathmandu,Baluwatar,High Access,4.5,6500000.0,29250000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Kalanki-14 Khadkagau, Chandragiri-13, Kathmandu",Kathmandu,Kalanki,Unknown,3.5,2700000.0,9450000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Pasikot Futsal, Budhanilakantha-4, Kathmandu",Kathmandu,Mid_Zone,Low Access,4.59,4500000.0,20655000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Bramhakhel Dhunge Dhara, Kageshwori Manahora-4, Kathmandu",Kathmandu,Budget_Zone,High Access,4.75,2500000.0,11875000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Dhapa Valley, Lalitpur-24, Lalitpur",Lalitpur,Budget_Zone,Unknown,5.0,3250000.0,16250000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
