location_raw,facing,price_amount_npr,price_unit,road_width_feet,road_surface,land_size_aana,district
"Duwakot, Bhaktapur",West,2200000.0,per_aana,20.0,Soil Stabilized,3.1,Bhaktapur
"Sitapakha, Lalitpur",West,3800000.0,per_aana,13.0,Dhalan,,Lalitpur
"Changathali, Lalitpur",South,4000000.0,per_aana,20.0,Dhalan,,Lalitpur
"Gothatar, Kathmandu",North,3500000.0,per_aana,13.0,Dhalan,3.3,Kathmandu
"Shital Height, Lalitpur",North-East,4500000.0,per_aana,20.0,Dhalan,,Lalitpur
"Changathali, Lalitpur",West,3500000.0,per_aana,13.0,Dhalan,,Lalitpur
"Chakupat, Lalitpur",East,8000000.0,per_aana,26.0,Black Topped,8.2,Lalitpur
"Harisiddhi, Lalitpur",West,4000000.0,per_aana,20.0,Dhalan,,Lalitpur
"Chandragiri, Kathmandu",North,2900000.0,per_aana,15.0,Soil Stabilized,,Kathmandu
"Kusunti, Lalitpur",West,4500000.0,per_aana,13.0,Dhalan,3.2,Lalitpur
"Dholahiti, Lalitpur",South-West,4500000.0,per_aana,26.0,Dhalan,,Lalitpur
"Bhairabnath Mandir, Bhaktapur",,5000000.0,per_aana,26.0,Dhalan,,Bhaktapur
"Rudreshwor, Kathmandu",West,5200000.0,per_aana,13.0,Black Topped,,Kathmandu
"Dudhpati, Bhaktapur",South,4300000.0,per_aana,20.0,Dhalan,5.1,Bhaktapur
"Taukhel, Lalitpur",South-East,2500000.0,per_aana,16.0,Black Topped,,Lalitpur
"Chhaling, Bhaktapur",East,2500000.0,per_aana,26.0,Dhalan,,Bhaktapur
"Bhandari Marg, Lalitpur",East,3900000.0,per_aana,13.0,Soil Stabilized,,Lalitpur
"Suncity, Kathmandu",South-East,3800000.0,per_aana,13.0,Dhalan,3.1,Kathmandu
"Gothatar, Kathmandu",West,4300000.0,per_aana,13.0,Dhalan,3.1,Kathmandu
"Gothatar, Kathmandu",East,4500000.0,per_aana,13.0,Dhalan,,Kathmandu
"Gothatar, Kathmandu",North,4800000.0,per_aana,20.0,Dhalan,3.1,Kathmandu
