district,property_type,property_face,road_type,municipality,ward_no,neighborhood,price_per_aana,land_size_aana,road_width_feet,facing_road_width,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,public_transport_m,police_station_m,ring_road_m,ring_road_proximity,comm_road_premium,is_corner_plot
Kathmandu,Residential,South-East,High Access,Tarkeshwor,4,Tarkeshwor,3500000.0,5.5,12.0,30.0,1000.0,8000.0,500.0,6000.0,500.0,500.0,1000.0,2000.0,0.13155467320159442,0.0,1
Kathmandu,Commercial,North-East,High Access,Tarkeshwor,2,Kavresthali,3300000.0,14.0,36.0,60.0,1000.0,9000.0,1000.0,7000.0,1000.0,50.0,1000.0,5000.0,0.1174068144882187,36.0,1
Kathmandu,Residential,South-West,High Access,Budhanilkantha,4,Budhanilkantha,4200000.0,4.0,13.0,28.0,800.0,7000.0,100.0,2500.0,500.0,50.0,800.0,2000.0,0.13155467320159442,0.0,1
Kathmandu,Residential,East,Low Access,Budhanilkantha,11,Kapan,4000000.0,4.0,13.0,34.0,400.0,8000.0,380.0,2000.0,350.0,600.0,800.0,5000.0,0.1174068144882187,0.0,0
Kathmandu,Residential,South-West,Low Access,Budhanilkantha,8,Budhanilkantha,4500000.0,6.0,13.0,36.0,500.0,6000.0,250.0,400.0,650.0,250.0,400.0,2000.0,0.13155467320159442,0.0,1
Kathmandu,Commercial,South,High Access,Nagarjun,6,Ramkot,4000000.0,28.0,36.0,81.0,1000.0,7000.0,500.0,6000.0,300.0,50.0,500.0,5000.0,0.1174068144882187,36.0,0
Kathmandu,Residential,South-East,High Access,Budhanilkantha,8,Budhanilkantha,4500000.0,4.0,13.0,28.0,500.0,4000.0,100.0,1000.0,200.0,200.0,800.0,1000.0,0.1447438839476537,0.0,1
Kathmandu,Residential,North-East,Low Access,Budhanilkantha,6,Budhanilkantha,4500000.0,4.5,20.0,28.0,700.0,4000.0,200.0,1500.0,200.0,200.0,800.0,1500.0,0.13672620632778687,0.0,1
Kathmandu,Residential,South,High Access,Budhanilkantha,2,Budhanilkantha,5000000.0,46.0,13.0,28.0,500.0,8000.0,100.0,2000.0,100.0,200.0,500.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,South-West,High Access,Kageshwori Manohara,6,Mulpani,6000000.0,11.7,32.0,40.0,1000.0,7000.0,500.0,5000.0,1000.0,500.0,500.0,4000.0,0.12056473085830295,0.0,1
