district,road_type,land_size_aana,price_per_aana,is_large_plot,road_width_feet,is_wide_road,facing,source,log_land,neighborhood_encoded,road_quality_score,neighborhood_x_district,plot_size_category,location_tier,large_plot_x_neighborhood
1,0,3.0,7000000.0,0,13.0,0,7,0,1.3862943611198906,15.245256633717792,1.0556229318461035,15.245256633717792,1,2,0.0
0,3,3.0,6500000.0,0,13.0,0,7,0,1.3862943611198906,14.189175111726222,2.8556229318461033,0.0,1,1,0.0
1,2,10.0,5300000.0,0,13.0,0,7,0,2.3978952727983707,15.170230074637264,2.255622931846103,15.170230074637264,2,2,0.0
2,3,3.5,3000000.0,0,13.0,0,7,0,1.5040773967762742,14.437225574395764,2.8556229318461033,28.87445114879153,1,1,0.0
1,2,15.0,4500000.0,0,13.0,0,7,0,2.772588722239781,15.170230074637264,2.255622931846103,15.170230074637264,3,2,0.0
1,2,6.0,6000000.0,0,13.0,0,7,0,1.9459101490553128,15.28609246171445,2.255622931846103,15.28609246171445,2,3,0.0
1,1,6.0,2500000.0,0,13.0,0,7,0,1.9459101490553128,14.871275810783608,1.6556229318461035,14.871275810783608,2,1,0.0
2,0,10.0,1050000.0,0,13.0,0,7,0,2.3978952727983707,14.076963152141449,1.0556229318461035,28.153926304282898,2,1,0.0
1,3,6.0,9000000.0,0,13.0,0,7,0,1.9459101490553128,15.797351059185896,2.8556229318461033,15.797351059185896,2,5,0.0
2,0,6.0,11000000.0,0,13.0,0,7,0,1.9459101490553128,15.324889802416322,1.0556229318461035,30.649779604832645,2,3,0.0
2,0,10.0,3500000.0,0,13.0,0,7,0,2.3978952727983707,15.154953559161193,1.0556229318461035,30.309907118322386,2,2,0.0
1,3,3.0,3200000.0,0,13.0,0,7,0,1.3862943611198906,14.871275810783608,2.8556229318461033,14.871275810783608,1,1,0.0
1,0,4.5,4400000.0,0,13.0,0,7,0,1.7047480922384253,15.283007903045162,1.0556229318461035,15.283007903045162,2,3,0.0
2,1,17.0,6500000.0,0,13.0,0,7,0,2.8903717578961645,15.797351059185896,1.6556229318461035,31.594702118371792,3,5,0.0
1,0,4.5,6500000.0,0,13.0,0,7,0,1.7047480922384253,15.965672589105742,1.0556229318461035,15.965672589105742,2,5,0.0
1,3,3.5,2700000.0,0,13.0,0,7,0,1.5040773967762742,15.432824010286703,2.8556229318461033,15.432824010286703,1,4,0.0
1,1,4.59,4500000.0,0,13.0,0,7,0,1.7209792871670078,15.371640665662255,1.6556229318461035,15.371640665662255,2,4,0.0
1,0,4.75,2500000.0,0,13.0,0,7,0,1.749199854809259,14.871275810783608,1.0556229318461035,14.871275810783608,2,1,0.0
2,3,5.0,3250000.0,0,13.0,0,7,0,1.791759469228055,14.871275810783608,2.8556229318461033,29.742551621567216,2,1,0.0
1,2,3.0,2000000.0,0,13.0,0,7,0,1.3862943611198906,14.854775753972746,2.255622931846103,14.854775753972746,1,1,0.0
1,1,6.5,2500000.0,0,13.0,0,7,0,2.0149030205422647,15.28609246171445,1.6556229318461035,15.28609246171445,2,3,0.0
1,2,4.0,3800000.0,0,13.0,0,7,0,1.6094379124341005,15.169167886528076,2.255622931846103,15.169167886528076,1,2,0.0
1,1,4.0,6300000.0,0,13.0,0,7,0,1.6094379124341005,15.965672589105742,1.6556229318461035,15.965672589105742,1,5,0.0
1,0,10.226442658875092,10000000.0,0,13.0,0,7,0,2.418271947318863,15.486831792118034,1.0556229318461035,15.486831792118034,3,4,0.0
2,0,4.0,5500000.0,0,13.0,0,7,0,1.6094379124341005,15.154953559161193,1.0556229318461035,30.309907118322386,1,2,0.0
1,3,5.5,1800000.0,0,13.0,0,7,0,1.8718021769015916,14.59429434363932,2.8556229318461033,14.59429434363932,2,1,0.0
1,3,5.843681519357195,2500000.0,0,13.0,0,7,0,1.9233258206627395,14.854775753972746,2.8556229318461033,14.854775753972746,2,1,0.0
0,3,5.0,2600000.0,0,13.0,0,7,0,1.791759469228055,14.871275810783608,2.8556229318461033,0.0,2,1,0.0
