district,property_type,property_face,road_type,furnishing,municipality,ward_no,neighborhood,total_price,land_size_aana,built_up_sqft,house_age,road_width_feet,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,college_m,public_transport_m,police_station_m,boudhanath_m,ring_road_m,is_corner_plot,neighborhood_encoded,municipality_encoded,log_land,log_built,floor_area_ratio,urban_centrality,amenity_access_score,house_size_score,comm_road_premium,neighborhood_x_district,municipality_x_ward,age_condition_score,ring_road_proximity
1,1,0,0,0,Tokha,7.0,Dhapasi,75500000.0,8.0,1711.25,3.0,13.0,500.0,6000.0,100.0,300.0,100.0,280.0,50.0,500.0,5000.0,2000.0,0,17.731134928950375,17.31608987311448,2.1972245773362196,7.445563574078014,0.625,0.061345614575167004,0.848552384828149,16.35957527708352,13.0,17.731134928950375,121.21262911180135,0.25,0.13155467320159442
1,1,6,0,2,Kageshwori Manohara,7.0,Mulpani,23500000.0,3.0,2538.0,4.0,13.0,2500.0,7000.0,400.0,4000.0,500.0,2000.0,100.0,600.0,5000.0,5000.0,1,17.174584248119572,17.174350741128553,1.3862943611198906,7.839525581704678,2.4718772826880935,0.05756654213502682,0.672177691818386,10.867890107772325,13.0,17.174584248119572,120.22045518789987,0.6000000000000001,0.1174068144882187
1,1,5,1,1,Budhanilkantha,11.0,Kapan,37500000.0,4.0,2665.0,0.0,14.0,1000.0,7000.0,150.0,1230.0,96.0,400.0,250.0,500.0,6500.0,3500.0,1,17.289342158205557,17.57755518264029,1.6094379124341003,7.888334500738654,1.9466764061358657,0.05877301160229187,0.7436287537136135,12.695784611450708,14.0,17.289342158205557,193.35310700904319,2.0,0.1225369473015127
1,1,1,1,1,Budhanilkantha,10.0,Sukedhara,42500000.0,5.48,3000.0,0.0,12.0,800.0,5000.0,80.0,1400.3,76.0,210.0,80.0,250.0,4500.0,500.0,0,17.55203344904506,17.57755518264029,1.8687205103641833,8.006700845440367,1.5995478611379181,0.06787023546730965,0.8349018719081804,14.96228609022466,12.0,17.55203344904506,175.77555182640288,2.0,0.1608594760130434
1,1,7,0,2,Kathmandu,14.0,Kuleshwor,80000000.0,8.5,1369.0,2.0,16.0,1000.0,9700.0,90.0,1230.0,100.0,100.0,400.0,344.0,10000.0,400.0,0,17.71961858564627,17.620749917248713,2.2512917986064953,7.222566018822171,0.47058823529411764,0.06590243705474041,0.7499447643908113,16.26010364306832,16.0,17.71961858564627,246.69049884148197,1.0,0.16683457378359495
1,1,0,0,2,Nagarjun,6.0,Sitapaila,28000000.0,3.0,2200.0,6.5,13.0,500.0,11000.0,240.0,2000.0,250.0,230.0,100.0,444.0,13000.0,700.0,0,17.154113935581414,17.31717635288628,1.3862943611198906,7.696667081526462,2.1426832237643048,0.06305866292817508,0.7408413352915508,10.669846174537218,13.0,17.154113935581414,103.90305811731767,0.4,0.1526133225995339
1,1,0,1,1,Nagarjun,3.0,Sitapaila,25000000.0,3.5,2500.0,0.0,13.0,2000.0,11000.0,660.0,3000.0,580.0,1310.0,200.0,970.0,13000.0,2500.0,0,17.154113935581414,17.31717635288628,1.5040773967762742,7.824445930877619,2.087029114056141,0.058376477581492926,0.6312258149769485,11.768572266931121,13.0,17.154113935581414,51.951529058658835,2.0,0.12780457668621606
1,0,0,0,1,Nagarjun,4.0,Kalanki,28000000.0,3.0,2200.0,0.0,13.0,600.0,11000.0,150.0,1000.0,200.0,260.0,200.0,404.0,13000.0,1000.0,0,17.250546355419527,17.31717635288628,1.3862943611198906,7.696667081526462,2.1426832237643048,0.06167320806281935,0.7327188266240212,10.669846174537218,0.0,17.250546355419527,69.26870541154511,2.0,0.1447438839476537
1,2,1,0,2,Kathmandu,17.0,Swayambhu,80000000.0,5.25,1711.25,6.0,13.0,1100.0,8000.0,90.0,1230.0,200.0,1300.0,100.0,524.0,4600.0,2000.0,0,17.460226122700004,17.620749917248713,1.8325814637483102,7.445563574078014,0.9523809523809523,0.060281911442519945,0.769704055051849,13.644601793014989,26.0,17.460226122700004,299.5527485932281,0.42857142857142855,0.13155467320159442
1,1,0,0,2,Kathmandu,14.0,Kalanki,60000000.0,10.0,1197.87,10.0,13.0,50.0,10000.0,110.0,1360.0,100.0,200.0,100.0,460.0,11000.0,150.0,0,17.250546355419527,17.620749917248713,2.3978952727983707,7.089134725462836,0.34999853907962014,0.07028532932026013,0.9000283132512732,16.99900264641811,13.0,17.250546355419527,246.69049884148197,0.2727272727272727,0.19931118704250333
1,0,5,0,2,Kathmandu,14.0,Kalanki,36000000.0,5.25,1026.75,22.0,6.0,500.0,9500.0,130.0,780.0,100.0,200.0,100.0,380.0,10000.0,100.0,1,17.250546355419527,17.620749917248713,1.8325814637483102,6.935127225777988,0.5714285714285714,0.07259911363316113,0.7993375092654817,12.709185602696984,0.0,17.250546355419527,246.69049884148197,0.13043478260869565,0.21667906533553166
1,0,7,1,2,Kathmandu,19.0,Basantapur,60000000.0,3.75,1197.87,22.0,8.0,600.0,8700.0,140.0,470.3,450.0,1500.0,500.0,574.0,7300.0,1500.0,0,17.460100318188335,17.620749917248713,1.55814461804655,7.089134725462836,0.9333294375456537,0.06103113293274025,0.6828414386743117,11.045897119086824,0.0,17.460100318188335,334.79424842772556,0.13043478260869565,0.13672620632778687
1,1,0,1,0,Budhanilkantha,4.0,Budhanilkantha,60000000.0,5.25,1540.12,1.0,13.0,300.0,4000.0,200.0,400.0,50.0,200.0,200.0,200.0,4000.0,4000.0,0,17.65948418097955,17.57755518264029,1.8325814637483102,7.340264703800292,0.8571400744373717,0.060282365429151476,0.8066781312643695,13.451633035190396,13.0,17.65948418097955,70.31022073056116,0.5,0.12056473085830295
1,0,6,0,2,Kathmandu,15.0,Chamati,48500000.0,3.5,1026.75,10.0,21.0,550.0,7700.0,240.0,1000.0,100.0,180.0,500.0,560.0,10000.0,500.0,1,17.40940096010793,17.620749917248713,1.5040773967762742,6.935127225777988,0.8571428571428571,0.06593821828558269,0.7182957437785327,10.43096810406042,0.0,17.40940096010793,264.3112487587307,0.2727272727272727,0.1608594760130434
1,1,2,1,2,Nagarjun,3.0,Budget_Zone,28000000.0,4.0,1898.0,4.0,12.0,2000.0,10000.0,100.0,2100.0,1000.0,2000.0,1000.0,650.0,12000.0,600.0,1,17.182697151432865,17.31717635288628,1.6094379124341003,7.549082710812286,1.3864134404674946,0.06406545828640356,0.6377215064324335,12.149779918882084,12.0,17.182697151432865,51.951529058658835,0.6000000000000001,0.1562843108887373
1,1,0,0,1,Budhanilkantha,11.0,Kapan,45500000.0,3.5,5000.0,2.0,13.0,300.0,4000.0,250.0,4000.0,300.0,500.0,250.0,250.0,4000.0,800.0,0,17.289342158205557,17.57755518264029,1.5040773967762742,8.517393171418904,4.174058228112282,0.06675495875138916,0.7124013255199997,12.81081854858776,13.0,17.289342158205557,193.35310700904319,0.6666666666666666,0.14956936854011055
1,1,1,0,2,Kathmandu,13.0,Bafal,100000000.0,9.0,1711.25,15.0,13.0,900.0,10000.0,188.0,1230.0,500.0,800.0,500.0,660.0,11000.0,100.0,0,17.680537714725286,17.620749917248713,2.302585092994046,7.445563574078014,0.5555555555555556,0.07232979612208405,0.6594780988098528,17.144043694611504,13.0,17.680537714725286,229.06974892423327,0.1875,0.21667906533553166
1,1,2,0,2,Kathmandu,8.0,Syuchatar,27500000.0,4.0,1095.2,0.0,10.0,1500.0,12000.0,680.0,2240.0,500.0,1500.0,1000.0,710.0,14000.0,2000.0,1,17.293868843278084,17.620749917248713,1.6094379124341003,6.999604932612016,0.8,0.058843786928109584,0.5956200467146981,11.265429550606514,10.0,17.293868843278084,140.9659993379897,3.0,0.13155467320159442
1,2,2,0,2,Gokarneshwor,4.0,Makalbari,27500000.0,3.5,1283.4,19.0,16.0,1000.0,7000.0,318.0,4000.0,500.0,500.0,500.0,500.0,2000.0,4000.0,1,17.15125278262907,17.218882479495953,1.5040773967762742,7.158046962215359,1.0713972659918607,0.05831547169951634,0.6399176238847527,10.766256640931195,32.0,17.15125278262907,68.87552991798381,0.15000000000000002,0.12056473085830295
1,1,0,0,1,Kathmandu,10.0,Samakhusi,74500000.0,9.5,2053.5,19.0,14.0,300.0,5000.0,100.0,1000.0,200.0,260.0,50.0,300.0,4000.0,400.0,0,17.670450106424845,17.620749917248713,2.3513752571634776,7.627787788323465,0.631578947368421,0.06891155427266794,0.8347955322535109,17.935791472357522,14.0,17.670450106424845,176.20749917248713,0.1,0.16683457378359495
1,1,4,0,2,Kathmandu,16.0,Machhapokhari,27000000.0,3.5,1026.75,32.0,10.0,100.0,8300.0,110.0,1300.3,100.0,150.0,200.0,380.0,8300.0,200.0,0,17.33621900306092,17.620749917248713,1.5040773967762742,6.935127225777988,0.8571428571428571,0.06979615806205614,0.8342551994536211,10.43096810406042,10.0,17.33621900306092,281.9319986759794,0.09090909090909091,0.18856166434639035
1,1,6,0,1,Budhanilkantha,7.0,Budhanilkantha,17500000.0,3.0,684.5,3.0,13.0,500.0,7000.0,300.0,3000.0,500.0,600.0,300.0,400.0,6000.0,400.0,1,17.65948418097955,17.57755518264029,1.3862943611198906,6.530148499002369,0.6666666666666666,0.06735018255611736,0.67215900088118,9.052708041442502,13.0,17.65948418097955,123.04288627848203,0.5,0.16683457378359495
1,2,1,0,2,Kathmandu,15.0,Dallu,45000000.0,6.0,1026.75,28.0,14.0,1500.0,8500.0,218.0,2000.0,500.0,500.0,100.0,594.0,10000.0,1500.0,0,17.48271979796729,17.620749917248713,1.9459101490553132,6.935127225777988,0.5,0.061117873105410565,0.69982546205083,13.495134453631206,28.0,17.48271979796729,264.3112487587307,0.10344827586206896,0.13672620632778687
1,0,6,0,2,Kathmandu,16.0,Chettrapati,200000000.0,6.5,2224.62,12.0,21.0,200.0,6500.0,110.0,1600.0,1500.0,3000.0,600.0,980.0,7000.0,2000.0,1,17.979261111191317,17.620749917248713,2.0149030205422647,7.707790807469563,0.9999977524301848,0.0610459107301949,0.693907585999082,15.530450979678324,0.0,17.979261111191317,281.9319986759794,0.23076923076923078,0.13155467320159442
1,1,5,0,0,Budhanilkantha,8.0,Budhanilkantha,35000000.0,4.5,1540.12,22.0,13.0,150.0,6000.0,150.0,200.0,200.0,200.0,170.0,200.0,4000.0,250.0,1,17.65948418097955,17.57755518264029,1.7047480922384253,7.340264703800292,0.999996753510267,0.07029810588006531,0.7816736212309757,12.513302250328598,13.0,17.65948418097955,140.6204414611223,0.043478260869565216,0.18098063833245323
1,1,4,0,2,Chandragiri,13.0,Outskirt_Zone,21500000.0,5.0,1026.75,2.0,21.0,2000.0,11000.0,738.0,4000.0,1200.0,2500.0,1000.0,1130.0,15000.0,2500.0,0,16.79260469575891,17.130993000950767,1.791759469228055,6.935127225777988,0.6,0.058376477581492926,0.5687178091695351,12.426079877089,21.0,16.79260469575891,222.70290901235995,1.0,0.12780457668621606
1,1,7,1,2,Kathmandu,3.0,Premium_Zone,27500000.0,3.0,1026.75,9.0,13.0,400.0,8000.0,200.0,520.3,210.2,240.0,400.0,370.4,6500.0,1000.0,0,18.43160859015897,17.620749917248713,1.3862943611198906,6.935127225777988,1.0,0.06290860478697412,0.7090487320335686,9.614127766745055,13.0,18.43160859015897,52.862249751746134,0.30000000000000004,0.1447438839476537
