url,source,category,district,property_id,title,total_price_raw,property_type,property_face,year_built,road_type,negotiable,furnishing,city_area,pricing_raw,purpose,property_area,built_up_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,landmark,hospital,airport,pharmacy,bhatbhateni,school,college,gym,public_transport,police_station,pashupatinath,boudhanath,atm,hotel,restaurant,banquet,ward_office,neighborhood,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors
https://lalpurjanepal.com.np/properties/house-for-sale-at-sunakothi-8564,lalpurja,house,Lalitpur,8564,Property Details,3 Crore 75 Lakh,Residential,North-East,2082,Paved,Yes,Semi Furnished,"Lalitpur, Sunakothi",3 Crore 75 Lakh,Sale,3.75 Aana,2456.57 square-feet,13 Feet,F 32 Feet,2025 October 31,3957,Lalitpur,26,2.5km,Dholahiti | Civil Homes Dhapakhel,1.8km,8.9km,700m,2.4km,600m,1.5km,950m,950m,2.8km,11km,13km,950m,1km,550m,700m,1km,Sunakothi,5,1,4,1,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-sunakothi-8563,lalpurja,house,Lalitpur,8563,Property Details,3 Crore 15 Lakh,Residential,South-West,2082,Paved,Yes,Semi Furnished,"Lalitpur, Sunakothi",3 Crore 15 Lakh,Sale,3.12 Aana,2215.26 square-feet,13 Feet,F 32 Feet,2025 October 31,2144,Lalitpur,26,2.5km,Dholahiti | Civil Homes Dhapakhel,1.8km,8.9km,700m,2.4km,600m,1.5km,950m,950m,2.8km,11km,13km,950m,1km,550m,700m,1km,Sunakothi,4,1,4,1,1,2.5
https://lalpurjanepal.com.np/properties/commercial-house-for-sale-at-kupondole-8507,lalpurja,house,Lalitpur,8507,Property Details,12 Crore,Commercial,East,2065,Blacktopped,Yes,,"Lalitpur, Kupondole",12 Crore,Sale,6 Aana,1026.75 square-feet,50 Feet,F 40 Feet,2025 October 16,441,Lalitpur,10,1.3km,Kupondole | Labim Mall,Norvic International Hospital - 1.4km,7.4km,,1km,The British School - 1km,The British College - 2km,,50m,,6.4km,8.1km,,,,,10,Kupondole,,,,,2,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-lalitpur-8497,lalpurja,house,Lalitpur,8497,Property Details,3 Crore 10 Lakh,Residential,South,2082,Paved,Yes,Semi Furnished,"Lalitpur, Tikathali",3 Crore 10 Lakh,Sale,3 Aana,941.18 square-feet,13 Feet,F 30 Feet,2025 October 14,344,Mahalaxmi,05,3km,Tikathali | Buddha Party Palace,500m,6km,300m,400m,350m,700m,200m,100m,350m,10km,14km,200m,150m,200m,300m,400m,Tikathali,8,2,4,2,1,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-lalitpur-8490,lalpurja,house,Lalitpur,8490,Property Details,3 Crore 35 Lakh,Residential,South,2082,Paved,Yes,Full Furnished,"Lalitpur, Tikathali",3 Crore 35 Lakh,Sale,3.25 Aana,1026.75 square-feet,13 Feet,F 31 Feet,2025 October 13,190,Mahalaxmi,05,3km,Tikathali | Buddha Party Palace,600m,6km,250m,400m,200m,450m,550m,100m,550m,10km,14km,250m,200m,350m,350m,500m,Tikathali,5,2,4,2,1,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-lalitpur-8484,lalpurja,house,Lalitpur,8484,Property Details,3 Crore 35 Lakh,Residential,North,2082,Paved,Yes,Semi Furnished,"Lalitpur, Tikathali",3 Crore 35 Lakh,Sale,3.25 Aana,1026.75 square-feet,13 Feet,F 31 Feet,2025 October 13,244,Mahalaxmi,05,3km,Tikathali | Buddha Party Palace,400m,6km,100m,300m,350m,700m,200m,100m,450m,10km,14km,250m,150m,250m,200m,450m,Tikathali,5,2,4,2,1,3
https://lalpurjanepal.com.np/properties/commercial-house-for-sale-at-kupandol-8477,lalpurja,house,Lalitpur,8477,Property Details,12 Crore,Commercial,South,2050,Blacktopped,Yes,,"Lalitpur, Kupondole",12 Crore,Sale,5.75 Aana,1026.75 square-feet,50 Feet,F 40 Feet,2025 October 12,299,Lalitpur,10,1.2km,Kupondole | Global IME Bank,Thapathali Maternity Hospital - 1.3 km,7km,,,Rosebud School - 1.8 km,Thapathali Campus - 1.5km,,50m,,5.9km,7.6km,,,,,10,Kupondole,,,,,,3.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-lalitpur-8474,lalpurja,house,Lalitpur,8474,Property Details,4 Crore 25 Lakh,Residential,North-East,2082,Paved,Yes,Full Furnished,"Lalitpur, Tikathali",4 Crore 25 Lakh,Sale,4 Aana,1197.87 square-feet,13 Feet,F 31 Feet,2025 October 12,128,Mahalaxmi,05,3km,Tikathali | Buddha Party Palace,500m,6km,200m,300m,500m,600m,200m,150m,450m,10km,14km,250m,200m,300m,600m,400m,Tikathali,6,2,6,2,1,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-lalitpur-8473,lalpurja,house,Lalitpur,8473,Property Details,4 Crore 50 Lakh,Residential,South-East,2082,Paved,Yes,Full Furnished,"Lalitpur, Tikathali",4 Crore 50 Lakh,Sale,4 Aana,1197.87 square-feet,13 Feet,F 31 Feet,2025 October 12,239,Mahalaxmi,05,3km,Tikathali | Buddha Party Palace,600m,7km,50m,300m,400m,800m,400m,140m,500m,10km,14km,400m,200m,450m,700m,400m,Tikathali,6,2,6,2,2,3
https://lalpurjanepal.com.np/properties/house-for-sale-lubhu-8467,lalpurja,house,Lalitpur,8467,Property Details,1 Crore 45 Lakh,Residential,West,2082,Paved,Yes,Semi Furnished,"Lalitpur, Lubhu",1 Crore 45 Lakh,Sale,3 Aana,941.18 square-feet,13 Feet,,2025 October 10,949,Mahalaxmi,08,5km,Lubhu | Genius IB School,400m,4km,100m,200m,200m,200m,100m,100m,200m,9km,12km,100m,100m,100m,200m,300m,Lubhu,2,1,1,1,1,1
https://lalpurjanepal.com.np/properties/house-for-sale-at-lalitpur-tikathali-8433,lalpurja,house,Lalitpur,8433,Property Details,2 Crore 75 Lakh,Residential,West,2082,Gravelled,Yes,Semi Furnished,"Lalitpur, Tikathali",2 Crore 75 Lakh,Sale,3.37 Aana,2716.69 square-feet,14 Feet,F 32 Feet,2025 September 25,801,Mahalaxmi,05,4km,Tikathali | Legend Futsal,1.7km,7.5km,500m,700m,550m,900m,550m,600m,2.2km,9.9km,11km,600m,650m,500m,1.2km,550m,Tikathali,6,2,5,2,1,3
https://lalpurjanepal.com.np/properties/land-for-sale-at-chunikhel-bhaisipati-8432,lalpurja,house,Lalitpur,8432,Property Details,30 Lakh Per Aana,Residential,West,,Paved,Yes,,"Lalitpur, Bhaisepati",30 Lakh Per Aana,Sale,6.5 Aana,,26 Feet,F 42 Feet,2025 September 25,657,Lalitpur,07,3km,Chunikhel | Qatar Embassy,500m,12km,200m,800m,300m,700m,400m,200m,600m,16km,20km,500m,200m,750m,800m,650m,Bhaisepati,,,,,,
https://lalpurjanepal.com.np/properties/house-for-sale-at-imadol-swimming-pool-8430,lalpurja,house,Lalitpur,8430,Property Details,2 Crore 10 Lakh,Residential,West,2079,Paved,Yes,Semi Furnished,"Lalitpur, Imadol",2 Crore 10 Lakh,Sale,2.5 Aana,718.72 square-feet,13 Feet,F 52 Feet,2025 September 24,605,Mahalaxmi,01,1.5km,Imadol | Swimming Pool,800m,6km,200m,700m,200m,450m,40m,150m,450m,10km,14km,300m,50m,150m,400m,250m,Imadol,5,2,4,2,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-lalitpur-nakhipot-8395,lalpurja,house,Lalitpur,8395,Property Details,2 Crore 90 Lakh,Residential,East,2062,Gravelled,Yes,Semi Furnished,"Lalitpur, Nakhipot",2 Crore 90 Lakh,Sale,5.75 Aana,1868 square-feet,8 Feet,F 46 Feet,2025 September 18,1454,Lalitpur,14,1.3km,Nakhipot | Basketball Court,2.2km,8.5km,200m,1.2km,600m,950m,600m,200m,1.9km,11km,13km,550m,800m,350m,800m,750m,Nakhipot,6,1,3,1,1,2
https://lalpurjanepal.com.np/properties/bungalow-house-for-sale-at-bhaisepati-8390,lalpurja,house,Lalitpur,8390,Property Details,2 Crore 50 Lakh,Residential,West,2080,Gravelled,Yes,Semi Furnished,"Lalitpur, Bhaisepati",2 Crore 50 Lakh,Sale,2.5 Aana,,13 Feet,F 25 Feet,2025 September 18,563,Lalitpur,18,2km,Bhaisepati | Nepal Mediciti Hospital,1.5km,10km,1km,,500m,1km,1km,500m,,11km,13km,,,,,,Bhaisepati,3,1,4,1,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-bhaisepati-8389,lalpurja,house,Lalitpur,8389,Property Details,2 Crore 50 Lakh,Residential,West,2080,Gravelled,Yes,Semi Furnished,"Lalitpur, Bhaisepati",2 Crore 50 Lakh,Sale,3.5 Aana,,13 Feet,F 25 Feet,2025 September 18,429,Lalitpur,18,2km,Bhaisepati | Nepal Mediciti Hospital,1.5km,9km,1km,,500m,1km,1km,700m,,13km,14km,500m,,,,1km,Bhaisepati,3,1,4,1,2,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-lubhu-8381,lalpurja,house,Lalitpur,8381,Property Details,2 Crore 99 Lakh,Residential,South-East,2025,Paved,Yes,Semi Furnished,"Lalitpur, Lubhu",2 Crore 99 Lakh,Sale,3.75 Aana,1026.75 square-feet,13 Feet,,2025 September 17,488,Mahalaxmi,08,5km,Lubhu | Valley Public School,300m,5km,100m,300m,100m,200m,100m,200m,200m,9km,12km,100m,200m,100m,200m,400m,Lubhu,4,1,5,1,1,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-lubhu-8380,lalpurja,house,Lalitpur,8380,Property Details,1 Crore 60 Lakh,Residential,West,2024,Paved,Yes,Semi Furnished,"Lalitpur, Lubhu",1 Crore 60 Lakh,Sale,2.75 Aana,684.5 square-feet,13 Feet,,2025 September 17,411,Mahalaxmi,08,5km,Lubhu | Valley Public School,300m,4km,100m,300m,100m,200m,100m,100m,100m,9km,12km,100m,200m,100m,100m,200m,Lubhu,2,1,2,1,1,1
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-lalitpur-8379,lalpurja,house,Lalitpur,8379,Property Details,2 Crore 90 Lakh,Residential,East,2082,Paved,Yes,Semi Furnished,"Lalitpur, Tikathali",2 Crore 90 Lakh,Sale,3.5 Aana,1026.75 square-feet,13 Feet,F 28 Feet,2025 September 17,268,Mahalaxmi,05,3km,Tikathali | Tinkune,750m,8km,200m,800m,200m,450m,100m,50m,400m,12km,16km,300m,400m,550m,400m,400m,Tikathali,7,2,5,2,1,3.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-lubhu-8378,lalpurja,house,Lalitpur,8378,Property Details,1 Crore 70 Lakh,Residential,West,2025,Paved,Yes,Semi Furnished,"Lalitpur, Lubhu",1 Crore 70 Lakh,Sale,2.5 Aana,684.5 square-feet,13 Feet,,2025 September 17,898,Mahalaxmi,08,5km,Lubhu | Ward No.8,400m,4km,100m,300m,100m,100m,200m,100m,100m,9km,12km,100m,100m,100m,200m,100m,Lubhu,4,1,3,1,1,2.5
