district,property_type,property_face,road_type,furnishing,municipality,ward_no,neighborhood,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors,total_price,land_size_aana,built_up_sqft,house_age,road_width_feet,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,college_m,public_transport_m,police_station_m,boudhanath_m,ring_road_m,is_corner_plot,neighborhood_encoded,municipality_encoded,log_land,log_built,floor_area_ratio,urban_centrality,amenity_access_score,house_size_score,comm_road_premium,neighborhood_x_district,municipality_x_ward,age_condition_score,rooms_total,bath_per_bed,sqft_per_room,floors_x_land,luxury_score,parking_premium
1,1,0,0,0,Tokha,7,Dhapasi,5.0,1.0,5.0,1.0,5.0,2.5,75500000.0,8.0,1711.25,3.0,13.0,500.0,6000.0,100.0,300.0,100.0,270.0,50.0,500.0,5000.0,2000.0,0,17.731134928950375,17.31608987311448,2.1972245773362196,7.445563574078014,0.625,0.061345614575167004,0.848552384828149,16.35957527708352,13.0,17.731134928950375,121.21262911180135,0.25,6.0,1.0,285.2083333333333,20.0,1.252762968495368,10.0
1,1,6,0,2,Kageshwori Manohara,7,Mulpani,7.0,3.0,4.0,3.0,5.0,3.5,23500000.0,3.0,2538.0,4.0,13.0,2500.0,7000.0,400.0,4000.0,500.0,2000.0,100.0,600.0,5000.0,5000.0,1,17.174584248119572,17.17489537721146,1.3862943611198906,7.839525581704678,2.4718772826880935,0.05756654213502682,0.672177691818386,10.867890107772325,13.0,17.174584248119572,120.22426764048022,0.6000000000000001,10.0,0.5714285714285714,253.8,10.5,2.5784183944736125,10.0
1,1,5,1,1,Budhanilkantha,11,Kapan,6.0,2.0,5.0,2.0,1.0,2.5,37500000.0,4.0,2665.0,0.0,14.0,1000.0,7000.0,150.0,1230.0,90.0,440.0,250.0,520.0,6500.0,3500.0,1,17.289342158205557,17.57755518264029,1.6094379124341003,7.888334500738654,1.9466764061358657,0.05877301160229187,0.7467229506466413,12.695784611450708,14.0,17.289342158205557,193.35310700904319,2.0,8.0,0.8333333333333334,333.125,10.0,2.0879382808256137,2.0
1,1,1,1,1,Budhanilkantha,10,Sukedhara,6.0,2.0,5.0,2.0,2.0,2.5,42500000.0,5.48,3000.0,0.0,12.0,640.0,5000.0,80.0,1250.0,120.0,230.0,80.0,250.0,4500.0,500.0,0,17.55203344904506,17.57755518264029,1.8687205103641833,8.006700845440367,1.5995478611379181,0.06787023546730965,0.8183620108269571,14.96228609022466,12.0,17.55203344904506,175.77555182640288,2.0,8.0,0.8333333333333334,375.0,13.700000000000001,2.0879382808256137,4.0
1,1,7,0,2,Kathmandu,14,Kuleshwor,7.0,3.0,5.0,3.0,3.0,3.0,80000000.0,8.5,1369.0,2.0,16.0,1000.0,9700.0,90.0,1230.0,100.0,100.0,400.0,500.0,10000.0,400.0,0,17.71961858564627,17.620749917248713,2.2512917986064953,7.222566018822171,0.47058823529411764,0.06590243705474041,0.7499447643908113,16.26010364306832,16.0,17.71961858564627,246.69049884148197,1.0,10.0,0.7142857142857143,136.9,25.5,2.970630773828337,6.0
1,1,0,0,2,Nagarjun,6,Sitapaila,5.0,2.0,4.0,2.0,1.0,3.0,28000000.0,3.0,2200.0,6.5,13.0,500.0,11000.0,220.0,2000.0,250.0,240.0,100.0,460.0,13000.0,700.0,0,17.154113935581414,17.31717635288628,1.3862943611198906,7.696667081526462,2.1426832237643048,0.06305866292817508,0.7437673938037408,10.669846174537218,13.0,17.154113935581414,103.90305811731767,0.4,7.0,0.8,314.2857142857143,9.0,3.327106466687738,2.0
1,1,0,1,1,Nagarjun,3,Sitapaila,6.0,2.0,4.0,2.0,1.0,2.5,25000000.0,3.5,2500.0,0.0,13.0,2000.0,11000.0,660.0,3000.0,550.0,1170.0,200.0,830.0,13000.0,2500.0,0,17.154113935581414,17.31717635288628,1.5040773967762742,7.824445930877619,2.087029114056141,0.058376477581492926,0.632545518524935,11.768572266931121,13.0,17.154113935581414,51.951529058658835,2.0,8.0,0.6666666666666666,312.5,8.75,1.6703506246604907,2.0
1,0,0,0,1,Nagarjun,4,Kalanki,5.0,2.0,4.0,2.0,1.0,2.5,28000000.0,3.0,2200.0,0.0,13.0,580.0,11000.0,140.0,1000.0,200.0,260.0,200.0,460.0,13000.0,1000.0,0,17.250546355419527,17.31717635288628,1.3862943611198906,7.696667081526462,2.1426832237643048,0.06167320806281935,0.7363094982219937,10.669846174537218,0.0,17.250546355419527,69.26870541154511,2.0,7.0,0.8,314.2857142857143,7.5,2.004420749592589,1.0
1,2,1,0,2,Kathmandu,17,Swayambhu,13.0,2.0,8.0,3.0,2.0,4.0,80000000.0,5.25,1711.25,6.0,13.0,1100.0,8000.0,90.0,1230.0,200.0,1300.0,100.0,530.0,4600.0,2000.0,0,17.460226122700004,17.620749917248713,1.8325814637483102,7.445563574078014,0.9523809523809523,0.060281911442519945,0.769704055051849,13.644601793014989,26.0,17.460226122700004,299.5527485932281,0.42857142857142855,16.0,0.6153846153846154,106.953125,21.0,2.9712699921860315,6.0
1,1,0,0,2,Kathmandu,14,Kalanki,7.0,2.0,4.0,3.0,3.0,3.5,60000000.0,10.0,1197.87,10.0,13.0,50.0,10000.0,110.0,1400.0,100.0,200.0,100.0,360.0,11000.0,150.0,0,17.250546355419527,17.620749917248713,2.3978952727983707,7.089134725462836,0.34999853907962014,0.07028532932026013,0.9000283132512732,16.99900264641811,13.0,17.250546355419527,246.69049884148197,0.2727272727272727,10.0,0.5714285714285714,119.78699999999999,35.0,2.5784183944736125,6.0
1,0,5,0,2,Kathmandu,14,Kalanki,8.0,1.0,3.0,2.0,2.0,2.5,36000000.0,5.25,1026.75,22.0,6.0,500.0,9500.0,130.0,780.0,100.0,200.0,100.0,360.0,10000.0,100.0,1,17.250546355419527,17.620749917248713,1.8325814637483102,6.935127225777988,0.5714285714285714,0.07259911363316113,0.7993375092654817,12.709185602696984,0.0,17.250546355419527,246.69049884148197,0.13043478260869565,10.0,0.375,102.675,13.125,1.409358339557289,2.0
1,0,7,1,2,Kathmandu,19,Basantapur,6.0,1.0,8.0,1.0,3.0,4.5,60000000.0,3.75,1197.87,22.0,8.0,600.0,8700.0,140.0,480.0,450.0,1500.0,500.0,800.0,7300.0,1500.0,0,17.460100318188335,17.620749917248713,1.55814461804655,7.089134725462836,0.9333294375456537,0.06103113293274025,0.6828414386743117,11.045897119086824,0.0,17.460100318188335,334.79424842772556,0.13043478260869565,7.0,1.3333333333333333,171.1242857142857,16.875,6.818992368953701,3.0
1,1,0,1,0,Budhanilkantha,4,Budhanilkantha,7.0,3.0,5.0,3.0,2.0,3.0,60000000.0,5.25,1540.12,1.0,13.0,300.0,4000.0,200.0,400.0,50.0,200.0,200.0,200.0,4000.0,4000.0,0,17.65948418097955,17.57755518264029,1.8325814637483102,7.340264703800292,0.8571400744373717,0.060282365429151476,0.8066781312643695,13.451633035190396,13.0,17.65948418097955,70.31022073056116,0.5,10.0,0.7142857142857143,154.012,15.75,0.990210257942779,4.0
