iter	Passed	Remaining
0	8	8309
1	13	6663
2	19	6601
3	25	6304
4	29	5853
5	34	5657
6	39	5583
7	46	5801
8	50	5588
9	55	5467
10	61	5513
11	65	5389
12	69	5267
13	74	5270
14	79	5249
15	84	5193
16	90	5226
17	95	5202
18	99	5122
19	104	5097
20	109	5116
21	114	5082
22	118	5046
23	124	5077
24	129	5044
25	133	4988
26	139	5025
27	143	4998
28	148	4961
29	153	4951
30	158	4958
31	163	4932
32	167	4921
33	175	4976
34	181	5001
35	190	5112
36	196	5119
37	202	5134
38	207	5120
39	211	5085
40	216	5071
41	222	5065
42	226	5043
43	231	5025
44	237	5038
45	241	5006
46	245	4978
47	251	4997
48	256	4976
49	260	4956
50	267	4974
51	271	4949
52	275	4927
53	281	4933
54	287	4933
55	291	4910
56	295	4895
57	301	4904
58	306	4887
59	311	4885
60	317	4892
61	322	4874
62	327	4867
63	333	4875
64	337	4856
65	341	4835
66	348	4849
67	352	4830
68	356	4812
69	362	4820
70	367	4808
71	371	4791
72	377	4798
73	382	4791
74	387	4782
75	393	4782
76	399	4787
77	404	4775
78	410	4785
79	415	4778
80	419	4760
81	426	4774
82	431	4762
83	435	4748
84	441	4752
85	446	4743
86	451	4734
87	457	4741
88	462	4732
89	467	4722
90	473	4733
91	479	4732
92	483	4718
93	490	4727
94	495	4722
95	500	4713
96	506	4714
97	511	4709
98	516	4702
99	523	4707
100	528	4702
101	533	4695
102	540	4710
103	545	4695
104	550	4695
105	555	4684
106	559	4673
107	564	4661
108	571	4671
109	575	4659
110	580	4647
111	586	4653
112	591	4642
113	595	4630
114	602	4634
115	607	4626
116	611	4618
117	618	4624
118	623	4617
119	629	4614
120	636	4620
121	640	4611
122	645	4601
123	651	4605
124	656	4593
125	662	4593
126	669	4599
127	673	4587
128	678	4581
129	684	4580
130	688	4569
131	693	4562
132	700	4565
133	704	4552
134	709	4545
135	715	4547
136	719	4534
137	724	4522
138	731	4528
139	735	4518
140	739	4506
141	744	4497
142	749	4489
143	753	4480
144	760	4486
145	765	4476
146	769	4464
147	774	4460
148	780	4455
149	784	4446
150	791	4450
151	796	4444
152	801	4435
153	806	4429
154	811	4424
155	815	4411
156	819	4401
157	824	4391
158	830	4391
159	835	4386
160	840	4380
161	845	4375
162	850	4368
163	854	4358
164	859	4349
165	863	4337
166	868	4333
167	873	4324
168	877	4316
169	884	4319
170	890	4315
171	895	4311
172	900	4306
173	905	4299
174	909	4288
175	916	4291
176	923	4293
177	930	4297
178	936	4293
179	940	4285
180	945	4276
181	949	4266
182	953	4255
183	957	4245
184	961	4236
185	965	4225
186	969	4214
187	975	4214
188	980	4206
189	984	4196
190	988	4186
191	993	4179
192	997	4169
193	1001	4159
194	1004	4148
195	1009	4141
196	1013	4132
197	1017	4122
198	1022	4114
199	1028	4112
200	1034	4110
201	1040	4109
202	1044	4101
203	1048	4091
204	1053	4085
205	1057	4077
206	1062	4069
207	1066	4060
208	1070	4052
209	1074	4043
210	1078	4033
211	1083	4027
212	1088	4020
213	1092	4012
214	1096	4003
215	1100	3995
