category,district,total_price,land_area_aana,build_up_area,floors,facing,road_width_feet,bedrooms,bathrooms,parking_cars,parking_bikes,house_age,is_under_construction,amenity_count,has_modular_kitchen,has_parquet,has_drainage,has_solar,has_parking,has_garden,is_wide_road,is_area_estimated,luxury_score,price_segment,is_incomplete_listing,log_land,log_build_up,neighborhood_encoded
0,2,29000000.0,4.0,2874.9,3.0,7,12.0,5.0,4.0,1.0,2.0,6.0,0,11,1,1,0,0,1,0,0,1,3,2,0,1.6094379124341003,7.964120947721826,17.136122222322758
0,2,47500000.0,3.0,3234.26,4.5,7,10.0,5.0,6.0,2.0,2.0,6.0,0,11,1,1,0,0,1,0,0,1,3,4,0,1.3862943611198906,8.081864574648243,17.512457391695445
0,2,19900000.0,2.3,1377.56,2.5,7,10.0,4.0,4.0,1.0,3.0,22.0,0,11,1,1,0,0,1,0,0,1,3,1,0,1.1939224684724346,7.228794755087915,17.136122222322758
0,2,40000000.0,7.0,4192.56,2.5,3,12.0,4.0,3.0,4.0,4.0,23.0,0,11,1,1,0,0,1,1,0,1,4,3,0,2.0794415416798357,8.341305294179508,17.598201792760147
0,2,33000000.0,3.2,1916.6,2.5,3,13.0,4.0,3.0,4.0,5.0,8.0,0,11,0,1,0,0,1,0,0,1,2,3,0,1.4350845252893227,7.558829683120175,17.598201792760147
0,1,40000000.0,4.3,2575.43,2.5,2,14.0,5.0,4.0,1.0,2.0,17.0,0,11,1,1,0,0,1,0,0,1,3,3,0,1.667706820558076,7.854159998759577,17.66719878919104
0,1,45000000.0,2.2,2898.86,5.5,7,10.0,13.0,5.0,1.0,3.0,16.0,0,11,1,1,0,0,1,0,0,1,3,3,0,1.1631508098056809,7.97241773894718,17.496515858990968
0,2,30000000.0,5.0,3593.62,3.0,0,12.0,5.0,5.0,2.0,2.0,7.0,0,11,0,1,1,0,1,0,0,1,3,2,0,1.791759469228055,8.187193562203863,17.598201792760147
0,2,49900000.0,5.2,3737.37,3.0,2,13.0,6.0,5.0,0.0,0.0,3.0,0,11,0,1,0,0,1,0,0,1,2,4,0,1.824549292051046,8.226404966530563,17.136122222322758
0,1,24500000.0,3.0,1796.81,2.5,4,16.0,4.0,2.0,0.0,2.0,12.0,0,11,0,1,1,0,0,0,0,1,2,1,0,1.3862943611198906,7.4943245364778175,17.25782035250942
